name,description,type,sub_type,attribute,attack,defense,price,volatility,index,index_market,join_id,set_id,set_name,set_release,rarity,rank,name_official,price_missing
Abyss Actor - Evil Heel,"If this card is Normal or Special Summoned: You can target 1 face-up monster your opponent controls; it loses 1000 ATK for each ""Abyss Actor"" monster you currently control, until the end of this turn. When this card destroys an opponent's monster by battle: You can target 1 ""Abyss Script"" Spell Card in your Graveyard; Set that card.",MONSTER,[Fiend／Pendulum／Effect],DARK,3000,2000,0.62,,12710,125272,DESO-EN016SE,DESO-EN016,DESTINY SOLDIERS,2016-11-18,SE Secret Rare,8,Abyss Actor - Evil Heel,False
Abyss Actor - Extras,"You can Tribute this card; place 1 ""Abyss Actor"" Pendulum Monster from your Deck in your Pendulum Zone, also for the rest of this turn, you cannot Special Summon monsters, except ""Abyss Actor"" monsters, nor activate the Pendulum Effect of ""Abyss Actor - Extras"". You can only use this effect of ""Abyss Actor - Extras"" once per turn.",MONSTER,[Fiend／Pendulum／Effect],DARK,100,100,0.22,,12714,230302,LDS2-EN058C,DESO-EN020,DESTINY SOLDIERS,2016-11-18,C Common,1,Abyss Actor - Extras,False
Abyss Actor - Funky Comedian,"If this card is Normal or Special Summoned: You can make this card gain 300 ATK for each ""Abyss Actor"" monster you currently control, until the end of this turn. You can target 1 other ""Abyss Actor"" monster you control; it gains ATK equal to this card's current ATK, until the end of this turn. This card cannot attack the turn this effect is activated. You can only use this effect of ""Abyss Actor - Funky Comedian"" once per turn.",MONSTER,[Fiend／Pendulum／Effect],DARK,300,200,0.2,,12711,125273,DESO-EN017SR,DESO-EN017,DESTINY SOLDIERS,2016-11-18,SR Super Rare,1,Abyss Actor - Funky Comedian,False
Abyss Actor - Leading Lady,"Once per turn, when battle damage is inflicted: You can target 1 face-up monster your opponent controls; it loses ATK equal to that battle damage. When this card is destroyed by battle, or if this card in its owner's Monster Zone is destroyed by an opponent's card effect: You can Set 1 ""Abyss Script"" Spell directly from your Deck.",MONSTER,[Fiend／Pendulum／Effect],DARK,1500,1000,0.27,,12715,177185,LED3-EN051C,DESO-EN021,DESTINY SOLDIERS,2016-11-18,C Common,4,Abyss Actor - Leading Lady,False
Abyss Actor - Liberty Dramatist,"If this card is Special Summoned from the Pendulum Zone: The owner of this card reveals 3 ""Abyss Script"" Spells from their Deck, their opponent randomly picks 1 for this card's owner to Set on their field (but the owner destroys it during the End Phase), also shuffle the rest into the Deck. If this card is destroyed: You can shuffle 1 ""Abyss Script"" Spell from your GY into the Deck. You can only use each effect of ""Abyss Actor - Liberty Dramatist"" once per turn.",MONSTER,[Fiend／Pendulum／Effect],DARK,1500,1500,0.07,,18161,480248,PHHY-EN016C,PHHY-EN016,PHOTON HYPERNOVA,2023-02-10,C Common,4,Abyss Actor - Liberty Dramatist,False
Abyss Actor - Mellow Madonna,"Gains 100 ATK for each ""Abyss Script"" Spell in your GY. You can only use each of the following effects of ""Abyss Actor - Mellow Madonna"" once per turn.●When a Pendulum Monster you control is destroyed by battle: You can Special Summon this card from your hand.●If an ""Abyss Script"" Spell Card or effect is activated: You can Special Summon 1 Level 4 or lower ""Abyss Actor"" Pendulum Monster from your Deck, but return it to the hand during the End Phase.",MONSTER,[Fiend／Pendulum／Effect],DARK,1800,2500,0.61,,13862,230304,LDS2-EN060C,LDS2-EN060,LEGENDARY DUELISTS: SEASON 2,2018-09-28,C Common,7,Abyss Actor - Mellow Madonna,False
Abyss Actor - Sassy Rookie,"The first time this card would be destroyed by battle or card effect each turn, it is not destroyed. If this card is destroyed by battle, or if this card in its owner's Monster Zone is destroyed by an opponent's card effect: You can Special Summon 1 Level 4 or lower ""Abyss Actor"" monster from your Deck, except ""Abyss Actor - Sassy Rookie"". If this card in the Pendulum Zone is destroyed: You can target 1 Level 4 or lower monster your opponent controls; destroy it.",MONSTER,[Fiend／Pendulum／Effect],DARK,1700,1000,0.35,,12713,125275,DESO-EN019SR,DESO-EN019,DESTINY SOLDIERS,2016-11-18,SR Super Rare,4,Abyss Actor - Sassy Rookie,False
Abyss Actor - Superstar,"When Normal or Special Summoned, your opponent's Spell/Trap Cards and effects cannot be activated. Once per turn: You can Set 1 ""Abyss Script"" Spell directly from your Deck, but it is sent to the GY during the End Phase.",MONSTER,[Fiend／Pendulum／Effect],DARK,2500,1800,0.275,,12712,177184,LED3-EN050C,DESO-EN018,DESTINY SOLDIERS,2016-11-18,C Common,7,Abyss Actor - Superstar,False
Abyss Actor - Trendy Understudy,"If you have 2 ""Abyss Actor"" cards in your Pendulum Zones: You can Tribute this card; Special Summon 1 Level 1 or 8 ""Abyss Actor"" Pendulum Monster from your hand or face-up from your Extra Deck. You can only use this effect of ""Abyss Actor - Trendy Understudy"" once per turn.",MONSTER,[Fiend／Pendulum／Effect],DARK,700,700,0.1067,,12697,177186,LED3-EN052C,COTD-EN097,2018 MEGA-TINS MEGA PACK,2017-08-04,C Common,2,Abyss Actor - Trendy Understudy,False
Abyss Actor - Twinkle Little Star,Cannot be destroyed by battle during your turn. This card can make up to 3 attacks on monsters during each Battle Phase.,MONSTER,[Fiend／Pendulum／Effect],DARK,1000,1000,0.08,,12865,218979,ROTD-EN081C,ROTD-EN081,RISE OF THE DUELIST,2020-08-07,C Common,4,Abyss Actor - Twinkle Little Star,False
Abyss Actor - Wild Hope,"Once per turn: You can make this card gain 100 ATK for each ""Abyss Actor"" monster you currently control with different names, until the end of this turn. If this card is destroyed by battle or card effect: You can add 1 ""Abyss Actor"" card from your Deck to your hand, except ""Abyss Actor - Wild Hope"". You can only use this effect of ""Abyss Actor - Wild Hope"" once per turn.",MONSTER,[Fiend／Pendulum／Effect],DARK,1600,1200,0.39,,12716,230303,LDS2-EN059C,DESO-EN022,DESTINY SOLDIERS,2016-11-18,C Common,4,Abyss Actor - Wild Hope,False
Abyss Dweller,"2 Level 4 monstersWhile this card has a material attached that was originally WATER, all WATER monsters you control gain 500 ATK. Once per turn (Quick Effect): You can detach 1 material from this card; your opponent cannot activate any card effects in their GY this turn.",MONSTER,[Sea Serpent／Xyz／Effect],WATER,1700,1400,1.7342,,10354,599852,CRBR-EN012R,RA02-EN033,25TH ANNIVERSARY RARITY COLLECTION 2,2024-05-24,SR Super Rare,4,Abyss Dweller,False
Abyss Shark,"If this card is used for the Xyz Summon of a ""Number"" monster, it can be treated as a Level 3 or 4 monster. If all monsters you control are WATER (min. 1): You can Special Summon this card from your hand, and if you do, add 1 Level 3, 4, or 5 Fish monster from your Deck to your hand, except ""Abyss Shark"". For the rest of this turn, you cannot Special Summon monsters, except WATER monsters, also, double the first battle damage inflicted to your opponent this turn by your ""Number"" monster battling another monster. You can only use this effect of ""Abyss Shark"" once per turn.",MONSTER,[Fish／Effect],WATER,1200,700,0.635,,17039,592381,RA03-EN030SR,RA03-EN030,QUARTER CENTURY BONANZA,2024-11-07,UR Ultra Rare,5,Abyss Shark,False
Abyss Soldier,Once per turn: You can discard 1 WATER monster to the Graveyard to target 1 card on the field; return it to the hand.,MONSTER,[Aqua／Effect],WATER,1800,1300,9.4,,5927,67132,SDRE-EN014C,CMC-EN001,CHAMPION PACK GAME TWO,2004-11-26,C Common,4,Abyss Soldier,False
Abyss Warrior,"Once per turn: You can discard 1 WATER monster to the Graveyard, then target 1 monster in either player's Graveyard; return that target to either the top or bottom of the Deck.",MONSTER,[Aqua／Effect],WATER,1800,1300,0.16,,10250,67221,ABYR-EN028C,ABYR-EN028,ABYSS RISING,2012-11-09,C Common,4,Abyss Warrior,False
Abyssal Kingshark,"Once per turn, if this card would be destroyed by an effect that does not target it, it is not destroyed.",MONSTER,[Fish／Effect],WATER,1700,600,3.085,,7336,59279,BP01-EN155C,BP01-EN155,BATTLE PACK EPIC DAWN,2012-05-28,C Common,4,Abyssal Kingshark,False
"Abyssrhine, the Atlantean Spirit","(This card is always treated as a ""Mermail"" card.)You can Tribute this card from your hand and 1 ""Atlantean"" or ""Mermail"" monster from your hand or field; take 1 Level 7 Fish, Sea Serpent, or Aqua monster from your Deck and either add it to your hand or Special Summon it, also you cannot Special Summon from the Extra Deck for the rest of this turn, except WATER monsters. During your opponent's turn (Quick Effect): You can banish this card from your GY and discard 1 card to the GY; draw 1 card. You can only use each effect of ""Abyssrhine, the Atlantean Spirit"" once per turn.",MONSTER,[Aqua／Effect],WATER,1600,1600,19.8033,,20493,651643,MP25-EN244UR,ROTA-EN017,RAGE OF THE ABYSS,2024-10-11,QCSE Quarter Century Secret Rare,3,"Abyssrhine, the Atlantean Spirit",False
"Abysstrite, the Atlantean Spirit","2+ Level 7 WATER monstersWATER monsters you control gain 300 ATK/DEF for each material attached to this card. You can only use each of the following effects of ""Abysstrite, the Atlantean Spirit"" once per turn. If this card is Xyz Summoned: You can target 1 Level 7 or lower Fish, Sea Serpent, or Aqua monster in your GY; Special Summon it. You can detach 1 material from this card; Set 1 ""Abyss-"" Trap from your Deck.",MONSTER,[Sea Serpent／Xyz／Effect],WATER,2100,2800,0.2,,20783,610869,SUDA-EN046SR,SUDA-EN046,SUPREME DARKNESS,2025-01-24,SR Super Rare,7,"Abysstrite, the Atlantean Spirit",False
Accel Synchro Stardust Dragon,"1 Tuner + 1+ non-Tuner monstersIf this card is Synchro Summoned: You can Special Summon 1 Level 2 or lower Tuner from your GY. During the Main Phase (Quick Effect): You can Tribute this card; Special Summon 1 ""Stardust Dragon"" from your Extra Deck (this is treated as a Synchro Summon), then, immediately after this effect resolves, Synchro Summon using monsters you control as material. For the rest of this turn, the monsters Synchro Summoned by this effect are unaffected by your opponent's activated effects. You can only use each effect of ""Accel Synchro Stardust Dragon"" once per turn.",MONSTER,[Dragon／Synchro／Effect],WIND,2500,2000,6.5633,,17253,579506,MP24-EN030QCSE,MAZE-EN019,MAZE OF MEMORIES,2023-03-10,CR COLLECTOR'S RARE,8,Accel Synchro Stardust Dragon,False
Accel Synchron,"1 Tuner + 1+ non-Tuner monstersOnce per turn: You can send 1 ""Synchron"" monster from your Deck to the GY, then activate 1 of these effects;●Increase this card's Level by the Level of the sent monster.●Reduce this card's Level by the Level of the sent monster.During your opponent's Main Phase, you can (Quick Effect): Immediately after this effect resolves, Synchro Summon using this card you control. You can only Synchro Summon ""Accel Synchron"" once per turn.",MONSTER,[Machine／Synchro／Tuner／Effect],DARK,500,2100,0.4067,,11629,276141,LDS3-EN120C,LDS3-EN120,LEGENDARY DUELISTS: MAGICAL HERO,2015-08-28,C Common,5,Accel Synchron,False
Ace★Spades Speculation,"1 monster with 2500 or more ATK + 1 face-down Defense Position monster with 2500 or less DEFYou can only Special Summon ""Ace★Spades Speculation(s)"" once per turn. You can Tribute 1 Attack Position monster and 1 face-down Defense Position monster; Special Summon this card from your GY. This card gains the following effect based on its battle position.●Attack Position: Gains ATK equal to the highest original ATK among monsters your opponent controls (your choice, if tied).●Defense Position: Cannot be destroyed by battle or card effects.",MONSTER,[Warrior／Fusion／Effect],LIGHT,2500,2500,0.2,,19935,554892,BLTR-EN039SE,BLTR-EN039,BATTLES OF LEGEND: TERMINAL REVENGE,2024-06-21,SE Secret Rare,7,Ace★Spades Speculation,False
Achacha Archer,When this card is Normal or Flip Summoned: Inflict 500 damage to your opponent.,MONSTER,[Warrior／Effect],FIRE,1200,600,0.145,,9620,69043,YS13-EN014C,SP13-EN004,STAR PACK 2013,2013-03-01,C Common,3,Achacha Archer,False
Achacha Chanbara,"During either player's turn, when a card or effect is activated that will inflict damage when it resolves: You can Special Summon this card from your hand, and if you do, inflict 400 damage to your opponent.",MONSTER,[Warrior／Effect],FIRE,1400,400,0.12,,10225,67195,ABYR-EN003C,ABYR-EN003,ABYSS RISING,2012-11-09,C Common,3,Achacha Chanbara,False
Achichi @Ignister,"If this card is Normal or Special Summoned: You can add 1 Level 4 or lower ""@Ignister"" monster from your Deck to your hand, except ""Achichi @Ignister"". At the start of the Damage Step, when your Cyberse monster battles: You can banish this card from your GY; destroy that monster you control. You can only use each effect of ""Achichi @Ignister"" once per turn.",MONSTER,[Cyberse／Effect],FIRE,800,800,2.0833,,14813,638118,OP28-EN019C,IGAS-EN004,2021 TIN OF ANCIENT BATTLES,2020-01-31,C Common,2,Achichi @Ignister,False
Acorno,"During your Main Phase: You can send 1 ""Pinecono"" from your hand to the Graveyard, and Special Summon this card from the hand.",MONSTER,[Plant／Effect],EARTH,200,400,0.09,,9724,57266,PHSW-EN006C,PHSW-EN006,PHOTON SHOCKWAVE,2011-11-15,C Common,1,Acorno,False
Acrobat Monkey,An autonomous monkey type robot which was developed with cutting-edge technology. It moves very acrobatically.,MONSTER,[Machine／Normal],EARTH,1000,1800,0.145,,5705,487281,DCR-EN003C,DCR-EN003,DARK CRISIS (LC01 25th Anniversary Edition),2007-12-12,C Common,3,Acrobat Monkey,False
Acrobatic Magician,If the activation of a Spell/Trap Card is negated (except during the Damage Step): You can Special Summon this card from your hand. When this card is destroyed by battle: You can place this card in your Pendulum Zone.,MONSTER,[Spellcaster／Pendulum／Effect],DARK,800,2300,0.2,,12408,121266,TDIL-EN009R,TDIL-EN009,THE DARK ILLUSION,2016-08-05,R Rare,5,Acrobatic Magician,False
Ad Libitum of Despia,"During your Main Phase: You can make all monsters currently on the field gain ATK equal to their own Level x 100, until the end of the opponent's turn. If this card in your hand or field is used as Fusion Material, and sent to the GY or banished: You can target 1 of your ""Despia"" monsters or Level 8 or higher Fusion Monsters, that is banished or in your GY, except ""Ad Libitum of Despia""; Special Summon it. You can only use each effect of ""Ad Libitum of Despia"" once per turn.",MONSTER,[Fairy／Effect],DARK,1500,2000,0.27,,16497,285049,MP22-EN192C,BODE-EN011,2022 TIN OF THE PHARAOH'S GODS,2021-11-05,C Common,8,Ad Libitum of Despia,False
Adamancipator Analyzer,"If only your opponent controls a monster: You can Special Summon this card from your hand. During your Main Phase: You can excavate the top 5 cards of your Deck, and if you do, you can Special Summon 1 excavated Level 4 or lower non-Tuner Rock monster, also place the rest on the bottom of your Deck in any order. You can only use each effect of ""Adamancipator Analyzer"" once per turn.",MONSTER,[Rock／Tuner／Effect],EARTH,1500,700,0.305,,15099,248935,MP21-EN226SR,MP21-EN226,2021 TIN OF ANCIENT BATTLES,2020-04-02,SE Secret Rare,4,Adamancipator Analyzer,False
Adamancipator Crystal - Dragite,"If this card is Special Summoned by the effect of an ""Adamancipator"" card: You can draw 1 card. If this card is in your GY: You can target 1 WATER Synchro Monster you control or in your GY; return it to the Extra Deck, and if you do, place this card on top of the Deck. You can only use each effect of ""Adamancipator Crystal - Dragite"" once per turn.",MONSTER,[Rock／Effect],WATER,0,2200,0.225,,15102,248932,MP21-EN229C,MP21-EN229,2021 TIN OF ANCIENT BATTLES,2020-04-02,C Common,4,Adamancipator Crystal - Dragite,False
Adamancipator Crystal - Leonite,"If this card is Special Summoned by the effect of an ""Adamancipator"" card: You can place 1 ""Adamancipator"" card from your hand or GY on top of the Deck. If this card is in your GY: You can target 1 FIRE Synchro Monster you control or in your GY; return it to the Extra Deck, and if you do, place this card on top of the Deck. You can only use each effect of ""Adamancipator Crystal - Leonite"" once per turn.",MONSTER,[Rock／Effect],FIRE,0,2200,0.13,,15100,248934,MP21-EN227C,MP21-EN227,2021 TIN OF ANCIENT BATTLES,2020-04-02,C Common,4,Adamancipator Crystal - Leonite,False
Adamancipator Crystal - Raptite,"If this card is Special Summoned by the effect of an ""Adamancipator"" card: You can place 1 Rock monster from your hand or GY on top of the Deck. If this card is in your GY: You can target 1 WIND Synchro Monster you control or in your GY; return it to the Extra Deck, and if you do, place this card on top of the Deck. You can only use each effect of ""Adamancipator Crystal - Raptite"" once per turn.",MONSTER,[Rock／Effect],WIND,0,2200,0.155,,15101,248933,MP21-EN228C,MP21-EN228,2021 TIN OF ANCIENT BATTLES,2020-04-02,C Common,4,Adamancipator Crystal - Raptite,False
Adamancipator Researcher,"If you control a Rock monster, except ""Adamancipator Researcher"": You can Special Summon this card from your hand. During your Main Phase: You can excavate the top 5 cards of your Deck, and if you do, you can Special Summon 1 excavated Level 4 or lower non-Tuner Rock monster, also place the rest on the bottom of your Deck in any order. You can only use each effect of ""Adamancipator Researcher"" once per turn.",MONSTER,[Rock／Tuner／Effect],EARTH,100,2100,3.345,,15098,248936,MP21-EN225UR,MP21-EN225,2021 TIN OF ANCIENT BATTLES,2020-04-02,SE Secret Rare,2,Adamancipator Researcher,False
Adamancipator Risen - Dragite,"1 Tuner + 1+ non-Tuner monstersDuring your Main Phase: You can excavate the top 5 cards of your Deck, and if you do, you can return cards your opponent controls to the hand, up to the number of excavated Rock monsters, also place the excavated cards on the bottom of your Deck in any order. When your opponent activates a Spell/Trap Card or effect, while a WATER monster is in your GY (Quick Effect): You can negate the activation, and if you do, destroy it. You can only use each effect of ""Adamancipator Risen - Dragite"" once per turn.",MONSTER,[Rock／Synchro／Effect],WATER,3000,2200,1.1567,,15105,555097,OP25-EN019C,MP21-EN232,2021 TIN OF ANCIENT BATTLES,2020-04-02,C Common,8,Adamancipator Risen - Dragite,False
Adamancipator Risen - Leonite,"1 Tuner + 1+ non-Tuner monstersDuring your Main Phase: You can excavate the top 5 cards of your Deck, and if you do, you can add 1 excavated ""Adamancipator"" card to your hand, also place the rest on the bottom of your Deck in any order. During your opponent's turn, if a FIRE monster is in your GY (Quick Effect): You can target 1 Rock monster in your GY; Special Summon it. You can only use each effect of ""Adamancipator Risen - Leonite"" once per turn.",MONSTER,[Rock／Synchro／Effect],FIRE,2400,2200,0.4,,15103,248931,MP21-EN230UR,MP21-EN230,2021 TIN OF ANCIENT BATTLES,2020-04-02,SE Secret Rare,6,Adamancipator Risen - Leonite,False
Adamancipator Risen - Raptite,"1 Tuner + 1+ non-Tuner monstersDuring your Main Phase: You can excavate the top 5 cards of your Deck, and if you do, you can Special Summon 1 excavated Rock monster in Defense Position, also place the rest on the bottom of your Deck in any order. During your opponent's turn, if a WIND monster is in your GY (Quick Effect): You can target 1 card in your opponent's GY; banish it. You can only use each effect of ""Adamancipator Risen - Raptite"" once per turn.",MONSTER,[Rock／Synchro／Effect],WIND,2200,2800,0.145,,15104,248930,MP21-EN231UR,MP21-EN231,2021 TIN OF ANCIENT BATTLES,2020-04-02,SR Super Rare,6,Adamancipator Risen - Raptite,False
Adamancipator Seeker,"If you control an ""Adamancipator"" monster, except ""Adamancipator Seeker"": You can Special Summon this card from your hand. During your Main Phase: You can excavate the top 5 cards of your Deck, and if you do, you can Special Summon 1 excavated Level 4 or lower non-Tuner Rock monster, also place the rest on the bottom of your Deck in any order. You can only use each effect of ""Adamancipator Seeker"" once per turn.",MONSTER,[Rock／Tuner／Effect],EARTH,1200,1000,0.3,,15097,248937,MP21-EN224SR,MP21-EN224,2021 TIN OF ANCIENT BATTLES,2020-04-02,SE Secret Rare,2,Adamancipator Seeker,False
Adhesive Explosive,"Before damage calculation, if this card was attacked by an opponent's monster and was in face-down Defense Position at the start of the Damage Step: Equip this card to the attacking monster. Then, during your opponent's next Standby Phase, destroy the monster this card is equipped to.",MONSTER,[Machine／Effect],WIND,1000,1000,1.1633,,6589,78871,BPW2-EN015SR,SOI-EN011,SHADOW OF INFINITY,2006-02-18,C Common,3,Adhesive Explosive,False
