name,description,type,sub_type,attribute,attack,defense,price,volatility,rank,set_id,Unnamed: 0,rarity,set_name,set_release,name_official,index,index_market,join_id,set_release_parsed,Decks
Abaki,"When this card is destroyed and sent to the Graveyard by battle, both players take 500 damage.",MONSTER,[Fiend／Effect],FIRE,1700.0,1100.0,,,,"['YSDS-EN020', 'CDIP-EN013']",148,C Common,STARTER DECK SYRUS TRUESDALE,2007-07-25,Abaki,6937,26390,YSDS-EN020C,2007-07-25,"['YSDS-EN020 (STARTER DECK SYRUS TRUESDALE)', 'CDIP-EN013 (CYBERDARK IMPACT)']"
Abare Ushioni,"Once per turn, you can toss a coin and call it. If you call it right, inflict 1000 damage to your opponent. If you call it wrong, you take 1000 damage.",MONSTER,[Beast-Warrior／Effect],EARTH,1200.0,1200.0,,,,"['DR3-EN146', 'FET-EN026']",150,C Common,DARK REVELATION Volume 3,2006-11-25,Abare Ushioni,6255,25941,DR3-EN146C,2006-11-25,"['DR3-EN146 (DARK REVELATION Volume 3)', 'FET-EN026 (FLAMING ETERNITY)']"
Abominable Unchained Soul,"You can only Special Summon ""Abominable Unchained Soul(s)"" once per turn. If a card(s) you control is destroyed by battle or card effect: You can Special Summon this card from your hand. If this card is Special Summoned: You can discard 1 card; destroy 1 card on the field. Once per turn, during the End Phase, if this card is in the GY because it was destroyed on the field and sent there this turn: You can Special Summon this card, but place it on the bottom of the Deck when it leaves the field.",MONSTER,[Fiend／Effect],DARK,3000.0,1500.0,,,,"['VASM-EN051', 'IGAS-EN019']",159,R Rare,VALIANT SMASHERS,2023-11-17,Abominable Unchained Soul,14828,527087,VASM-EN051R,2023-11-17,"['VASM-EN051 (VALIANT SMASHERS)', 'IGAS-EN019 (IGNITION ASSAULT)']"
Absolute Axon Kicker,"1 Psychic Synchro Monster + 1 Synchro MonsterMust first be Fusion Summoned. Cannot be destroyed by card effects. If this card is Fusion Summoned: You can pay 2000 LP; banish all face-up cards your opponent controls. If this card is in your GY, except the turn it was sent there: You can banish it; Special Summon 1 Level 10 Psychic Fusion Monster from your Extra Deck (this is treated as a Fusion Summon). You can only use this effect of ""Absolute Axon Kicker"" once per turn.",MONSTER,[Psychic／Fusion／Effect],LIGHT,3400.0,2200.0,,,,['DUAD-EN034'],168,C Common,DUELIST'S ADVANCE,2025-07-04,Absolute Axon Kicker,21445,639371,DUAD-EN034C,2025-07-04,"[""DUAD-EN034 (DUELIST'S ADVANCE)""]"
Absolute Crusader,If a Level 5 or higher monster(s) is Special Summoned: Tribute this face-up card; destroy that Level 5 or higher monster(s).,MONSTER,[Warrior／Effect],EARTH,1800.0,1200.0,,,,"['SBC2-ENC04', 'LEDD-ENA13', 'LEDD-ENA13', 'GENF-EN036']",169,C Common,SPEED DUEL: BATTLE CITY FINALS,2024-12-13,Absolute Crusader,9653,600096,SBC2-ENC04C,2024-12-13,"['SBC2-ENC04 (SPEED DUEL: BATTLE CITY FINALS)', 'LEDD-ENA13 (LEGENDARY DRAGON DECKS)', 'LEDD-ENA13 (GENERATION FORCE)']"
Absolute King Back Jack,"During your opponent's turn (Quick Effect): You can banish this card from the GY; excavate the top card of your Deck, and if it is a Normal Trap, Set it to your field. Otherwise, send it to the GY. That Set card can be activated during this turn. If this card is sent to the GY: You can look at 3 cards from the top of your Deck, then place them on the top of the Deck in any order. You can only use each effect of ""Absolute King Back Jack"" once per turn.",MONSTER,[Fiend／Effect],DARK,0.0,0.0,,,,"['RA04-EN244', 'RA04-EN244', 'OP26-EN004', 'SDCK-EN016', 'SR13-EN024', 'TAMA-EN048', 'SR06-EN020', 'PGL2-EN002']",175,PS Platinum Secret Rare,QUARTER CENTURY STAMPEDE,2025-04-11,Absolute King Back Jack,11642,627563,RA04-EN244PS,2025-04-11,"['RA04-EN244 (QUARTER CENTURY STAMPEDE)', 'RA04-EN244 (OTS TOURNAMENT PACK 26)', 'OP26-EN004 (STRUCTURE DECK: THE CRIMSON KING)', 'SDCK-EN016 (STRUCTURE DECK: DARK WORLD)', 'SR13-EN024 (TACTICAL MASTERS)', 'TAMA-EN048 (STRUCTURE DECK : LAIR OF DARKNESS)', 'SR06-EN020 (PREMIUM GOLD: RETURN OF THE BLING)']"
Absorbing Jar,"FLIP: Destroy all Set Spells/Traps on the field, then each player draws 1 card for each of the cards they controlled that was destroyed by this effect. You cannot Set any cards this turn.",MONSTER,[Rock／Flip／Effect],EARTH,600.0,500.0,,,,"['SGX3-ENA12', 'SBCB-EN031', 'GAOV-EN037']",186,C Common,SPEED DUEL GX: DUELISTS OF SHADOWS,2023-03-31,Absorbing Jar,10060,489374,SGX3-ENA12C,2023-03-31,"['SGX3-ENA12 (SPEED DUEL GX: DUELISTS OF SHADOWS)', 'SBCB-EN031 (Speed Duel: Battle City Box)', 'GAOV-EN037 (GALACTIC OVERLORD)']"
Absorbing Kid from the Sky,"When this card destroys a monster and sends it to the Graveyard as a result of battle, increase your Life Points by the Level of the destroyed monster x 300 points.",MONSTER,[Fairy／Effect],LIGHT,1300.0,1000.0,,,,"['DR2-EN185', 'AST-072']",189,C Common,DARK REVELATION Volume 2,2005-10-20,Absorbing Kid from the Sky,6034,24806,DR2-EN185C,2005-10-20,"['DR2-EN185 (DARK REVELATION Volume 2)', 'AST-072 (ANCIENT SANCTUARY)']"
Absorouter Dragon,"If you control a ""Rokket"" monster, you can Special Summon this card (from your hand). You can only Special Summon ""Absorouter Dragon"" once per turn this way. If this card is sent to the GY: You can add 1 ""Rokket"" monster from your Deck to your hand. You can only use this effect of ""Absorouter Dragon"" once per turn.",MONSTER,[Dragon／Effect],DARK,1200.0,2800.0,,,,['SDRR-EN005'],191,SR Super Rare,STRUCTURE DECK: ROKKET REVOLT,2019-08-16,Absorouter Dragon,14618,196810,SDRR-EN005SR,2019-08-16,['SDRR-EN005 (STRUCTURE DECK: ROKKET REVOLT)']
Abyss Actor - Comic Relief,"You take no battle damage from attacks involving this card. Once per turn, during your Standby Phase: Give control of this card to your opponent. Once per turn, if control of this face-up card changes: Activate this effect; the owner of this card can destroy 1 Set ""Abyss Script"" Spell in their Spell & Trap Zone.",MONSTER,[Fiend／Pendulum／Effect],DARK,1000.0,2000.0,,,,"['LDS2-EN061', 'LED3-EN046']",192,C Common,LEGENDARY DUELISTS: SEASON 2,2021-01-22,Abyss Actor - Comic Relief,13863,230306,LDS2-EN061C,2021-01-22,"['LDS2-EN061 (LEGENDARY DUELISTS: SEASON 2)', 'LED3-EN046 (LEGENDARY DUELISTS: WHITE DRAGON ABYSS)']"
Abyss Actor - Curtain Raiser,"Gains 1100 ATK if you control no other monsters. Once per turn: You can send 1 ""Abyss Script"" Spell from your Deck to the GY; add 1 face-up ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand.",MONSTER,[Fiend／Pendulum／Effect],DARK,1100.0,1000.0,,,,"['OP21-EN015', 'BLLR-EN012']",194,C Common,OTS TOURNAMENT PACK 21,2023-02-08,Abyss Actor - Curtain Raiser,13137,482448,OP21-EN015C,2023-02-08,"['OP21-EN015 (OTS TOURNAMENT PACK 21)', ""BLLR-EN012 (BATTLES OF LEGEND -LIGHT'S REVENGE-)""]"
Abyss Actor - Evil Heel,"If this card is Normal or Special Summoned: You can target 1 face-up monster your opponent controls; it loses 1000 ATK for each ""Abyss Actor"" monster you currently control, until the end of this turn. When this card destroys an opponent's monster by battle: You can target 1 ""Abyss Script"" Spell Card in your Graveyard; Set that card.",MONSTER,[Fiend／Pendulum／Effect],DARK,3000.0,2000.0,,,,['DESO-EN016'],196,SE Secret Rare,DESTINY SOLDIERS,2016-11-18,Abyss Actor - Evil Heel,12710,125272,DESO-EN016SE,2016-11-18,['DESO-EN016 (DESTINY SOLDIERS)']
Abyss Actor - Extras,"You can Tribute this card; place 1 ""Abyss Actor"" Pendulum Monster from your Deck in your Pendulum Zone, also for the rest of this turn, you cannot Special Summon monsters, except ""Abyss Actor"" monsters, nor activate the Pendulum Effect of ""Abyss Actor - Extras"". You can only use this effect of ""Abyss Actor - Extras"" once per turn.",MONSTER,[Fiend／Pendulum／Effect],DARK,100.0,100.0,,,,"['LDS2-EN058', 'DESO-EN020']",197,C Common,LEGENDARY DUELISTS: SEASON 2,2021-01-22,Abyss Actor - Extras,12714,230302,LDS2-EN058C,2021-01-22,"['LDS2-EN058 (LEGENDARY DUELISTS: SEASON 2)', 'DESO-EN020 (DESTINY SOLDIERS)']"
Abyss Actor - Funky Comedian,"If this card is Normal or Special Summoned: You can make this card gain 300 ATK for each ""Abyss Actor"" monster you currently control, until the end of this turn. You can target 1 other ""Abyss Actor"" monster you control; it gains ATK equal to this card's current ATK, until the end of this turn. This card cannot attack the turn this effect is activated. You can only use this effect of ""Abyss Actor - Funky Comedian"" once per turn.",MONSTER,[Fiend／Pendulum／Effect],DARK,300.0,200.0,,,,['DESO-EN017'],199,SR Super Rare,DESTINY SOLDIERS,2016-11-18,Abyss Actor - Funky Comedian,12711,125273,DESO-EN017SR,2016-11-18,['DESO-EN017 (DESTINY SOLDIERS)']
Abyss Actor - Leading Lady,"Once per turn, when battle damage is inflicted: You can target 1 face-up monster your opponent controls; it loses ATK equal to that battle damage. When this card is destroyed by battle, or if this card in its owner's Monster Zone is destroyed by an opponent's card effect: You can Set 1 ""Abyss Script"" Spell directly from your Deck.",MONSTER,[Fiend／Pendulum／Effect],DARK,1500.0,1000.0,,,,"['LED3-EN051', 'DESO-EN021']",201,C Common,LEGENDARY DUELISTS: WHITE DRAGON ABYSS,2018-09-28,Abyss Actor - Leading Lady,12715,177185,LED3-EN051C,2018-09-28,"['LED3-EN051 (LEGENDARY DUELISTS: WHITE DRAGON ABYSS)', 'DESO-EN021 (DESTINY SOLDIERS)']"
Abyss Actor - Liberty Dramatist,"If this card is Special Summoned from the Pendulum Zone: The owner of this card reveals 3 ""Abyss Script"" Spells from their Deck, their opponent randomly picks 1 for this card's owner to Set on their field (but the owner destroys it during the End Phase), also shuffle the rest into the Deck. If this card is destroyed: You can shuffle 1 ""Abyss Script"" Spell from your GY into the Deck. You can only use each effect of ""Abyss Actor - Liberty Dramatist"" once per turn.",MONSTER,[Fiend／Pendulum／Effect],DARK,1500.0,1500.0,,,,['PHHY-EN016'],203,C Common,PHOTON HYPERNOVA,2023-02-10,Abyss Actor - Liberty Dramatist,18161,480248,PHHY-EN016C,2023-02-10,['PHHY-EN016 (PHOTON HYPERNOVA)']
Abyss Actor - Mellow Madonna,"Gains 100 ATK for each ""Abyss Script"" Spell in your GY. You can only use each of the following effects of ""Abyss Actor - Mellow Madonna"" once per turn.●When a Pendulum Monster you control is destroyed by battle: You can Special Summon this card from your hand.●If an ""Abyss Script"" Spell Card or effect is activated: You can Special Summon 1 Level 4 or lower ""Abyss Actor"" Pendulum Monster from your Deck, but return it to the hand during the End Phase.",MONSTER,[Fiend／Pendulum／Effect],DARK,1800.0,2500.0,,,,"['LDS2-EN060', 'LED3-EN045']",204,C Common,LEGENDARY DUELISTS: SEASON 2,2021-01-22,Abyss Actor - Mellow Madonna,13862,230304,LDS2-EN060C,2021-01-22,"['LDS2-EN060 (LEGENDARY DUELISTS: SEASON 2)', 'LED3-EN045 (LEGENDARY DUELISTS: WHITE DRAGON ABYSS)']"
Abyss Actor - Sassy Rookie,"The first time this card would be destroyed by battle or card effect each turn, it is not destroyed. If this card is destroyed by battle, or if this card in its owner's Monster Zone is destroyed by an opponent's card effect: You can Special Summon 1 Level 4 or lower ""Abyss Actor"" monster from your Deck, except ""Abyss Actor - Sassy Rookie"". If this card in the Pendulum Zone is destroyed: You can target 1 Level 4 or lower monster your opponent controls; destroy it.",MONSTER,[Fiend／Pendulum／Effect],DARK,1700.0,1000.0,,,,['DESO-EN019'],206,SR Super Rare,DESTINY SOLDIERS,2016-11-18,Abyss Actor - Sassy Rookie,12713,125275,DESO-EN019SR,2016-11-18,['DESO-EN019 (DESTINY SOLDIERS)']
Abyss Actor - Superstar,"When Normal or Special Summoned, your opponent's Spell/Trap Cards and effects cannot be activated. Once per turn: You can Set 1 ""Abyss Script"" Spell directly from your Deck, but it is sent to the GY during the End Phase.",MONSTER,[Fiend／Pendulum／Effect],DARK,2500.0,1800.0,,,,"['LED3-EN050', 'DESO-EN018']",208,C Common,LEGENDARY DUELISTS: WHITE DRAGON ABYSS,2018-09-28,Abyss Actor - Superstar,12712,177184,LED3-EN050C,2018-09-28,"['LED3-EN050 (LEGENDARY DUELISTS: WHITE DRAGON ABYSS)', 'DESO-EN018 (DESTINY SOLDIERS)']"
Abyss Actor - Trendy Understudy,"If you have 2 ""Abyss Actor"" cards in your Pendulum Zones: You can Tribute this card; Special Summon 1 Level 1 or 8 ""Abyss Actor"" Pendulum Monster from your hand or face-up from your Extra Deck. You can only use this effect of ""Abyss Actor - Trendy Understudy"" once per turn.",MONSTER,[Fiend／Pendulum／Effect],DARK,700.0,700.0,,,,"['LED3-EN052', 'MP18-EN101', 'COTD-EN097']",210,C Common,LEGENDARY DUELISTS: WHITE DRAGON ABYSS,2018-09-28,Abyss Actor - Trendy Understudy,12697,177186,LED3-EN052C,2018-09-28,"['LED3-EN052 (LEGENDARY DUELISTS: WHITE DRAGON ABYSS)', 'MP18-EN101 (2018 MEGA-TINS MEGA PACK)', 'COTD-EN097 (CODE OF THE DUELIST)']"
Abyss Actor - Twinkle Little Star,Cannot be destroyed by battle during your turn. This card can make up to 3 attacks on monsters during each Battle Phase.,MONSTER,[Fiend／Pendulum／Effect],DARK,1000.0,1000.0,,,,['ROTD-EN081'],213,C Common,RISE OF THE DUELIST,2020-08-07,Abyss Actor - Twinkle Little Star,12865,218979,ROTD-EN081C,2020-08-07,['ROTD-EN081 (RISE OF THE DUELIST)']
Abyss Actor - Wild Hope,"Once per turn: You can make this card gain 100 ATK for each ""Abyss Actor"" monster you currently control with different names, until the end of this turn. If this card is destroyed by battle or card effect: You can add 1 ""Abyss Actor"" card from your Deck to your hand, except ""Abyss Actor - Wild Hope"". You can only use this effect of ""Abyss Actor - Wild Hope"" once per turn.",MONSTER,[Fiend／Pendulum／Effect],DARK,1600.0,1200.0,,,,"['LDS2-EN059', 'DESO-EN022']",214,C Common,LEGENDARY DUELISTS: SEASON 2,2021-01-22,Abyss Actor - Wild Hope,12716,230303,LDS2-EN059C,2021-01-22,"['LDS2-EN059 (LEGENDARY DUELISTS: SEASON 2)', 'DESO-EN022 (DESTINY SOLDIERS)']"
Abyss Dweller,"2 Level 4 monstersWhile this card has a material attached that was originally WATER, all WATER monsters you control gain 500 ATK. Once per turn (Quick Effect): You can detach 1 material from this card; your opponent cannot activate any card effects in their GY this turn.",MONSTER,[Sea Serpent／Xyz／Effect],WATER,1700.0,1400.0,,,,"['CRBR-EN012', 'RA02-EN033', 'RA02-EN033', 'RA02-EN033', 'RA02-EN033', 'RA02-EN033', 'OP20-EN020', 'OP13-EN002', 'DUDE-EN016', 'PGL3-EN068', 'THSF-EN047', 'ABYR-EN084']",221,R Rare,CROSSOVER BREAKERS,2024-12-06,Abyss Dweller,10354,599852,CRBR-EN012R,2024-12-06,"['CRBR-EN012 (CROSSOVER BREAKERS)', 'RA02-EN033 (25TH ANNIVERSARY RARITY COLLECTION 2)', 'RA02-EN033 (OTS TOURNAMENT PACK 20)', 'RA02-EN033 (OTS TOURNAMENT PACK 13)', 'RA02-EN033 (Duel Devastator)', 'RA02-EN033 (PREMIUM GOLD: INFINITE GOLD)', 'OP20-EN020 (THE SECRET FORCES)', 'OP13-EN002 (ABYSS RISING)']"
Abyss Shark,"If this card is used for the Xyz Summon of a ""Number"" monster, it can be treated as a Level 3 or 4 monster. If all monsters you control are WATER (min. 1): You can Special Summon this card from your hand, and if you do, add 1 Level 3, 4, or 5 Fish monster from your Deck to your hand, except ""Abyss Shark"". For the rest of this turn, you cannot Special Summon monsters, except WATER monsters, also, double the first battle damage inflicted to your opponent this turn by your ""Number"" monster battling another monster. You can only use this effect of ""Abyss Shark"" once per turn.",MONSTER,[Fish／Effect],WATER,1200.0,700.0,,,,"['RA03-EN030', 'RA03-EN030', 'RA03-EN030', 'RA03-EN030', 'RA03-EN030', 'LED9-EN001']",248,SR Super Rare,QUARTER CENTURY BONANZA,2024-11-07,Abyss Shark,17039,592381,RA03-EN030SR,2024-11-07,"['RA03-EN030 (QUARTER CENTURY BONANZA)', 'RA03-EN030 (LEGENDARY DUELISTS: DUELS FROM THE DEEP)']"
Abyss Soldier,Once per turn: You can discard 1 WATER monster to the Graveyard to target 1 card on the field; return it to the hand.,MONSTER,[Aqua／Effect],WATER,1800.0,1300.0,,,,"['SDRE-EN014', 'CP02-EN007', 'CMC-EN001']",254,C Common,REALM OF THE SEA EMPEROR STRUCTURE DECK,2012-10-16,Abyss Soldier,5927,67132,SDRE-EN014C,2012-10-16,"['SDRE-EN014 (REALM OF THE SEA EMPEROR STRUCTURE DECK)', 'CP02-EN007 (CHAMPION PACK GAME TWO)', 'CMC-EN001 (Yu-Gi-Oh! CAPSULE MONSTER COLISEUM Bundles)']"
Abyss Warrior,"Once per turn: You can discard 1 WATER monster to the Graveyard, then target 1 monster in either player's Graveyard; return that target to either the top or bottom of the Deck.",MONSTER,[Aqua／Effect],WATER,1800.0,1300.0,,,,['ABYR-EN028'],259,C Common,ABYSS RISING,2012-11-09,Abyss Warrior,10250,67221,ABYR-EN028C,2012-11-09,['ABYR-EN028 (ABYSS RISING)']
Abyssal Kingshark,"Once per turn, if this card would be destroyed by an effect that does not target it, it is not destroyed.",MONSTER,[Fish／Effect],WATER,1700.0,600.0,,,,"['BP01-EN155', 'BP01-EN155', 'TU05-EN013', 'TAEV-EN084']",274,C Common,BATTLE PACK EPIC DAWN,2012-05-28,Abyssal Kingshark,7336,59279,BP01-EN155C,2012-05-28,"['BP01-EN155 (BATTLE PACK EPIC DAWN)', 'BP01-EN155 (TURBO PACK BOOSTER FIVE)', 'TU05-EN013 (TACTICAL EVOLUTION)']"
"Abyssrhine, the Atlantean Spirit","(This card is always treated as a ""Mermail"" card.)You can Tribute this card from your hand and 1 ""Atlantean"" or ""Mermail"" monster from your hand or field; take 1 Level 7 Fish, Sea Serpent, or Aqua monster from your Deck and either add it to your hand or Special Summon it, also you cannot Special Summon from the Extra Deck for the rest of this turn, except WATER monsters. During your opponent's turn (Quick Effect): You can banish this card from your GY and discard 1 card to the GY; draw 1 card. You can only use each effect of ""Abyssrhine, the Atlantean Spirit"" once per turn.",MONSTER,[Aqua／Effect],WATER,1600.0,1600.0,,,,"['MP25-EN244', 'ROTA-EN017', 'ROTA-EN017']",278,UR Ultra Rare,2025 MEGA-PACK TIN,2025-09-05,"Abyssrhine, the Atlantean Spirit",20493,651643,MP25-EN244UR,2025-09-05,"['MP25-EN244 (2025 MEGA-PACK TIN)', 'ROTA-EN017 (RAGE OF THE ABYSS)']"
"Abysstrite, the Atlantean Spirit","2+ Level 7 WATER monstersWATER monsters you control gain 300 ATK/DEF for each material attached to this card. You can only use each of the following effects of ""Abysstrite, the Atlantean Spirit"" once per turn. If this card is Xyz Summoned: You can target 1 Level 7 or lower Fish, Sea Serpent, or Aqua monster in your GY; Special Summon it. You can detach 1 material from this card; Set 1 ""Abyss-"" Trap from your Deck.",MONSTER,[Sea Serpent／Xyz／Effect],WATER,2100.0,2800.0,,,,['SUDA-EN046'],281,SR Super Rare,SUPREME DARKNESS,2025-01-24,"Abysstrite, the Atlantean Spirit",20783,610869,SUDA-EN046SR,2025-01-24,['SUDA-EN046 (SUPREME DARKNESS)']
Accel Synchro Stardust Dragon,"1 Tuner + 1+ non-Tuner monstersIf this card is Synchro Summoned: You can Special Summon 1 Level 2 or lower Tuner from your GY. During the Main Phase (Quick Effect): You can Tribute this card; Special Summon 1 ""Stardust Dragon"" from your Extra Deck (this is treated as a Synchro Summon), then, immediately after this effect resolves, Synchro Summon using monsters you control as material. For the rest of this turn, the monsters Synchro Summoned by this effect are unaffected by your opponent's activated effects. You can only use each effect of ""Accel Synchro Stardust Dragon"" once per turn.",MONSTER,[Dragon／Synchro／Effect],WIND,2500.0,2000.0,,,,"['MP24-EN030', 'MAZE-EN019', 'MAZE-EN019']",282,QCSE Quarter Century Secret Rare,25TH ANNIVERSARY TIN: DUELING MIRRORS,2024-09-20,Accel Synchro Stardust Dragon,17253,579506,MP24-EN030QCSE,2024-09-20,"['MP24-EN030 (25TH ANNIVERSARY TIN: DUELING MIRRORS)', 'MAZE-EN019 (MAZE OF MEMORIES)']"
Accel Synchron,"1 Tuner + 1+ non-Tuner monstersOnce per turn: You can send 1 ""Synchron"" monster from your Deck to the GY, then activate 1 of these effects;●Increase this card's Level by the Level of the sent monster.●Reduce this card's Level by the Level of the sent monster.During your opponent's Main Phase, you can (Quick Effect): Immediately after this effect resolves, Synchro Summon using this card you control. You can only Synchro Summon ""Accel Synchron"" once per turn.",MONSTER,[Machine／Synchro／Tuner／Effect],DARK,500.0,2100.0,,,,"['LDS3-EN120', 'LED6-EN028', 'SDSE-EN042']",285,C Common,LEGENDARY DUELISTS: SEASON 3,2022-07-22,Accel Synchron,11629,276141,LDS3-EN120C,2022-07-22,"['LDS3-EN120 (LEGENDARY DUELISTS: SEASON 3)', 'LED6-EN028 (LEGENDARY DUELISTS: MAGICAL HERO)', 'SDSE-EN042 (SYNCHRON EXTREME STRUCTURE DECK)']"
