Unnamed: 0,name,description,set_id,rarity,price,volatility,type,sub_type,attribute,rank,attack,defense,set_name,set_release,name_official,index,index_market,join_id,set_release_parsed
10,"""Infernoble Arms - Durendal""","While this card is equipped to a monster: You can add 1 Level 5 or lower FIRE Warrior monster from your Deck to your hand, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 Level 5 or lower FIRE Warrior monster in your GY; Special Summon it, also you cannot Special Summon monsters for the rest of this turn, except Warrior monsters. You can only use 1 """"Infernoble Arms - Durendal"""" effect per turn, and only once that turn.",ROTD-EN053,UR Ultra Rare,,,SPELL,Equip,,,,,RISE OF THE DUELIST,2020-08-07,"""Infernoble Arms - Durendal""",15287,218949,ROTD-EN053UR,2020-08-07
11,"""Infernoble Arms - Hauteclere""","While this card is equipped to a monster: You can target 1 face-up monster you control; this turn, you cannot declare attacks, except with that monster, also it gains the ability this turn to make a second attack during each Battle Phase, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 face-up monster on the field; destroy it. You can only use 1 """"Infernoble Arms - Hauteclere"""" effect per turn, and only once that turn.",MP21-EN137,SR Super Rare,,,SPELL,Equip,,,,,2021 TIN OF ANCIENT BATTLES,2021-10-01,"""Infernoble Arms - Hauteclere""",15288,249095,MP21-EN137SR,2021-10-01
12,"""Infernoble Arms - Hauteclere""","While this card is equipped to a monster: You can target 1 face-up monster you control; this turn, you cannot declare attacks, except with that monster, also it gains the ability this turn to make a second attack during each Battle Phase, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 face-up monster on the field; destroy it. You can only use 1 """"Infernoble Arms - Hauteclere"""" effect per turn, and only once that turn.",ROTD-EN054,C Common,,,SPELL,Equip,,,,,RISE OF THE DUELIST,2020-08-07,"""Infernoble Arms - Hauteclere""",15288,218950,ROTD-EN054C,2020-08-07
13,"""Infernoble Arms - Joyeuse""","While this card is equipped to a monster: You can target 1 FIRE Warrior monster in your GY; add it to your hand, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can Special Summon 1 FIRE Warrior monster from your hand. You can only use 1 """"Infernoble Arms - Joyeuse"""" effect per turn, and only once that turn.",MP21-EN138,SR Super Rare,,,SPELL,Equip,,,,,2021 TIN OF ANCIENT BATTLES,2021-10-01,"""Infernoble Arms - Joyeuse""",15289,249094,MP21-EN138SR,2021-10-01
14,"""Infernoble Arms - Joyeuse""","While this card is equipped to a monster: You can target 1 FIRE Warrior monster in your GY; add it to your hand, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can Special Summon 1 FIRE Warrior monster from your hand. You can only use 1 """"Infernoble Arms - Joyeuse"""" effect per turn, and only once that turn.",ROTD-EN055,SR Super Rare,,,SPELL,Equip,,,,,RISE OF THE DUELIST,2020-08-07,"""Infernoble Arms - Joyeuse""",15289,218952,ROTD-EN055SR,2020-08-07
15,1st Movement Solo,"If you control no monsters: Special Summon 1 Level 4 or lower ""Melodious"" monster from your hand or Deck. You can only activate 1 ""1st Movement Solo"" per turn. You cannot Special Summon monsters during the turn you activate this card, except ""Melodious"" monsters.",MP24-EN038,QCSE Quarter Century Secret Rare,,,SPELL,,,,,,25TH ANNIVERSARY TIN: DUELING MIRRORS,2024-09-20,1st Movement Solo,11391,579514,MP24-EN038QCSE,2024-09-20
16,1st Movement Solo,"If you control no monsters: Special Summon 1 Level 4 or lower ""Melodious"" monster from your hand or Deck. You can only activate 1 ""1st Movement Solo"" per turn. You cannot Special Summon monsters during the turn you activate this card, except ""Melodious"" monsters.",MP15-EN169,SR Super Rare,,,SPELL,,,,,,2015 MEGA-TINS MEGA PACK,2015-09-18,1st Movement Solo,11391,105337,MP15-EN169SR,2015-09-18
17,1st Movement Solo,"If you control no monsters: Special Summon 1 Level 4 or lower ""Melodious"" monster from your hand or Deck. You can only activate 1 ""1st Movement Solo"" per turn. You cannot Special Summon monsters during the turn you activate this card, except ""Melodious"" monsters.",NECH-ENS10,SR Super Rare,,,SPELL,,,,,,THE NEW CHALLENGERS SUPER EDITION,2014-12-05,1st Movement Solo,11391,96212,NECH-ENS10SR,2014-12-05
18,1st Movement Solo,"If you control no monsters: Special Summon 1 Level 4 or lower ""Melodious"" monster from your hand or Deck. You can only activate 1 ""1st Movement Solo"" per turn. You cannot Special Summon monsters during the turn you activate this card, except ""Melodious"" monsters.",NECH-EN059,SR Super Rare,,,SPELL,,,,,,THE NEW CHALLENGERS,2014-11-07,1st Movement Solo,11391,94581,NECH-EN059SR,2014-11-07
19,3-Hump Lacooda,"If there are 3 face-up ""3-Hump Lacooda"" cards on your side of the field, Tribute 2 of them to draw 3 cards.",DR2-EN183,C Common,,,MONSTER,[Beast／Effect],EARTH,,500.0,1500.0,DARK REVELATION Volume 2,2005-10-20,3-Hump Lacooda,6032,24804,DR2-EN183C,2005-10-20
20,3-Hump Lacooda,"If there are 3 face-up ""3-Hump Lacooda"" cards on your side of the field, Tribute 2 of them to draw 3 cards.",AST-070,C Common,,,MONSTER,[Beast／Effect],EARTH,,500.0,1500.0,ANCIENT SANCTUARY,2004-06-01,3-Hump Lacooda,6032,23259,AST-070C,2004-06-01
21,4-Starred Ladybug of Doom,FLIP: Destroy all Level 4 monsters your opponent controls.,PSV-EN088,C Common,,,MONSTER,[Insect／Flip／Effect],WIND,,800.0,1200.0,PHARAOH'S SERVANT (LC01 25th Anniversary Edition),2023-04-21,4-Starred Ladybug of Doom,5139,476351,PSV-EN088C,2023-04-21
22,4-Starred Ladybug of Doom,FLIP: Destroy all Level 4 monsters your opponent controls.,PSV-EN088,C Common,,,MONSTER,[Insect／Flip／Effect],WIND,,800.0,1200.0,PHARAOH'S SERVANT (LC01 25th Anniversary Edition),2023-04-21,4-Starred Ladybug of Doom,5139,486773,PSV-EN088C,2023-04-21
23,4-Starred Ladybug of Doom,FLIP: Destroy all Level 4 monsters your opponent controls.,YSYR-EN010,C Common,,,MONSTER,[Insect／Flip／Effect],WIND,,800.0,1200.0,STARTER DECK YUGI RELOADED,2013-12-06,4-Starred Ladybug of Doom,5139,77797,YSYR-EN010C,2013-12-06
24,4-Starred Ladybug of Doom,FLIP: Destroy all Level 4 monsters your opponent controls.,RP02-EN022,C Common,,,MONSTER,[Insect／Flip／Effect],WIND,,800.0,1200.0,RETRO PACK 2,2009-07-28,4-Starred Ladybug of Doom,5139,78193,RP02-EN022C,2009-07-28
25,4-Starred Ladybug of Doom,FLIP: Destroy all Level 4 monsters your opponent controls.,RP02-EN022,C Common,,,MONSTER,[Insect／Flip／Effect],WIND,,800.0,1200.0,RETRO PACK 2,2009-07-28,4-Starred Ladybug of Doom,5139,649832,RP02-EN022C,2009-07-28
26,4-Starred Ladybug of Doom,FLIP: Destroy all Level 4 monsters your opponent controls.,DB1-EN198,C Common,,,MONSTER,[Insect／Flip／Effect],WIND,,800.0,1200.0,DARK BEGINNING 1,2004-10-12,4-Starred Ladybug of Doom,5139,23734,DB1-EN198C,2004-10-12
27,4-Starred Ladybug of Doom,FLIP: Destroy all Level 4 monsters your opponent controls.,PSV-088,C Common,,,MONSTER,[Insect／Flip／Effect],WIND,,800.0,1200.0,PHARAOH'S SERVANT,2002-10-20,4-Starred Ladybug of Doom,5139,21715,PSV-088C,2002-10-20
28,7,"When there are 3 face-up ""7"" cards on your side of the field, draw 3 cards from your Deck. Then destroy all ""7"" cards. When this card is sent directly from the field to your Graveyard, increase your Life Points by 700 points.",DR2-EN204,C Common,,,SPELL,Continuous,,,,,DARK REVELATION Volume 2,2005-10-20,7,6053,24825,DR2-EN204C,2005-10-20
29,7,"When there are 3 face-up ""7"" cards on your side of the field, draw 3 cards from your Deck. Then destroy all ""7"" cards. When this card is sent directly from the field to your Graveyard, increase your Life Points by 700 points.",AST-091,C Common,,,SPELL,Continuous,,,,,ANCIENT SANCTUARY,2004-06-01,7,6053,23292,AST-091C,2004-06-01
30,7 Colored Fish,A rare rainbow fish that has never been caught by mortal man.,SBC1-ENC09,C Common,,,MONSTER,[Fish／Normal],WATER,,1800.0,800.0,SPEED DUEL: STREETS OF BATTLE CITY,2023-08-25,7 Colored Fish,4446,512278,SBC1-ENC09C,2023-08-25
31,7 Colored Fish,A rare rainbow fish that has never been caught by mortal man.,MRD-EN098,C Common,,,MONSTER,[Fish／Normal],WATER,,1800.0,800.0,METAL RAIDERS (LC01 25th Anniversary Edition),2023-04-21,7 Colored Fish,4446,476711,MRD-EN098C,2023-04-21
32,7 Colored Fish,A rare rainbow fish that has never been caught by mortal man.,MRD-EN098,C Common,,,MONSTER,[Fish／Normal],WATER,,1800.0,800.0,METAL RAIDERS (LC01 25th Anniversary Edition),2023-04-21,7 Colored Fish,4446,486385,MRD-EN098C,2023-04-21
33,7 Colored Fish,A rare rainbow fish that has never been caught by mortal man.,GLD1-EN001,C Common,,,MONSTER,[Fish／Normal],WATER,,1800.0,800.0,GOLD SERIES,2008-04-02,7 Colored Fish,4446,32209,GLD1-EN001C,2008-04-02
34,7 Colored Fish,A rare rainbow fish that has never been caught by mortal man.,SD4-EN002,C Common,,,MONSTER,[Fish／Normal],WATER,,1800.0,800.0,STRUCTURE DECK FURY FROM THE DEEP,2005-05-09,7 Colored Fish,4446,24147,SD4-EN002C,2005-05-09
35,7 Colored Fish,A rare rainbow fish that has never been caught by mortal man.,SDJ-008,C Common,,,MONSTER,[Fish／Normal],WATER,,1800.0,800.0,STARTER DECK JOEY,2003-03-30,7 Colored Fish,4446,22991,SDJ-008C,2003-03-30
36,7 Colored Fish,A rare rainbow fish that has never been caught by mortal man.,MRD-098,C Common,,,MONSTER,[Fish／Normal],WATER,,1800.0,800.0,METAL RAIDERS,2002-06-26,7 Colored Fish,4446,21716,MRD-098C,2002-06-26
37,7 Completed,"Activate this card by choosing ATK or DEF; equip only to a Machine monster. It gains 700 ATK or DEF, depending on the choice.",PSV-EN004,C Common,,,SPELL,Equip,,,,,PHARAOH'S SERVANT (LC01 25th Anniversary Edition),2023-04-21,7 Completed,4806,486607,PSV-EN004C,2023-04-21
38,7 Completed,"Activate this card by choosing ATK or DEF; equip only to a Machine monster. It gains 700 ATK or DEF, depending on the choice.",PSV-EN004,C Common,,,SPELL,Equip,,,,,PHARAOH'S SERVANT (LC01 25th Anniversary Edition),2023-04-21,7 Completed,4806,476234,PSV-EN004C,2023-04-21
39,7 Completed,"Activate this card by choosing ATK or DEF; equip only to a Machine monster. It gains 700 ATK or DEF, depending on the choice.",SBSC-EN029,C Common,,,SPELL,Equip,,,,,SPEED DUEL: SCARS OF BATTLE,2019-08-02,7 Completed,4806,196216,SBSC-EN029C,2019-08-02
40,7 Completed,"Activate this card by choosing ATK or DEF; equip only to a Machine monster. It gains 700 ATK or DEF, depending on the choice.",BP03-EN135,C Common,,,SPELL,Equip,,,,,BATTLE PACK 3 MONSTER LEAGUE,2014-08-01,7 Completed,4806,92031,BP03-EN135C,2014-08-01
41,7 Completed,"Activate this card by choosing ATK or DEF; equip only to a Machine monster. It gains 700 ATK or DEF, depending on the choice.",BP03-EN135,SH Shatterfoil,,,SPELL,Equip,,,,,BATTLE PACK 3 MONSTER LEAGUE,2014-08-01,7 Completed,4806,92068,BP03-EN135SH,2014-08-01
42,7 Completed,"Activate this card by choosing ATK or DEF; equip only to a Machine monster. It gains 700 ATK or DEF, depending on the choice.",PSV-004,C Common,,,SPELL,Equip,,,,,PHARAOH'S SERVANT,2002-10-20,7 Completed,4806,21717,PSV-004C,2002-10-20
43,8-Claws Scorpion,"Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster, this card's ATK becomes 2400 during damage calculation only.",GLD1-EN007,C Common,,,MONSTER,[Insect／Effect],DARK,,300.0,200.0,GOLD SERIES,2008-04-02,8-Claws Scorpion,5421,32210,GLD1-EN007C,2008-04-02
44,8-Claws Scorpion,"Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster, this card's ATK becomes 2400 during damage calculation only.",PGD-024,C Common,,,MONSTER,[Insect／Effect],DARK,,300.0,200.0,PHARAONIC GUARDIAN,2003-07-18,8-Claws Scorpion,5421,21718,PGD-024C,2003-07-18
45,"A Bao A Qu, the Lightless Shadow","2+ monsters, including a Fiend monsterDuring the Main Phase (Quick Effect): You can discard 1 card, then activate 1 of these effects;●Destroy 1 card on the field.●Banish this card (until the End Phase), and if you do, Special Summon 1 LIGHT or DARK monster from your GY.During your Standby Phase: You can draw cards equal to the number of different Monster Types in your GY, then place cards from your hand on the bottom of the Deck in any order, equal to the number of cards you drew. You can only use each effect of ""A Bao A Qu, the Lightless Shadow"" once per turn.",SUDA-EN049,SE Secret Rare,,,MONSTER,[Fiend／Link／Effect],DARK,,2800.0,,SUPREME DARKNESS,2025-01-24,"A Bao A Qu, the Lightless Shadow",20786,610872,SUDA-EN049SE,2025-01-24
46,"A Bao A Qu, the Lightless Shadow","2+ monsters, including a Fiend monsterDuring the Main Phase (Quick Effect): You can discard 1 card, then activate 1 of these effects;●Destroy 1 card on the field.●Banish this card (until the End Phase), and if you do, Special Summon 1 LIGHT or DARK monster from your GY.During your Standby Phase: You can draw cards equal to the number of different Monster Types in your GY, then place cards from your hand on the bottom of the Deck in any order, equal to the number of cards you drew. You can only use each effect of ""A Bao A Qu, the Lightless Shadow"" once per turn.",SUDA-EN049,QCSE Quarter Century Secret Rare,,,MONSTER,[Fiend／Link／Effect],DARK,,2800.0,,SUPREME DARKNESS,2025-01-24,"A Bao A Qu, the Lightless Shadow",20786,610873,SUDA-EN049QCSE,2025-01-24
47,A Cat of Ill Omen,"FLIP: Choose 1 Trap from your Deck and place it on top of your Deck, or, if ""Necrovalley"" is on the field, you can add that Trap to your hand instead.",SS01-ENB11,C Common,,,MONSTER,[Beast／Flip／Effect],DARK,,500.0,300.0,SPEED DUEL STARTER DECK: DESTINY MASTERS,2019-01-25,A Cat of Ill Omen,5520,183745,SS01-ENB11C,2019-01-25
48,A Cat of Ill Omen,"FLIP: Choose 1 Trap from your Deck and place it on top of your Deck, or, if ""Necrovalley"" is on the field, you can add that Trap to your hand instead.",DR1-EN018,C Common,,,MONSTER,[Beast／Flip／Effect],DARK,,500.0,300.0,DARK REVELATION Volume 1,2005-03-19,A Cat of Ill Omen,5520,23805,DR1-EN018C,2005-03-19
49,A Cat of Ill Omen,"FLIP: Choose 1 Trap from your Deck and place it on top of your Deck, or, if ""Necrovalley"" is on the field, you can add that Trap to your hand instead.",PGD-070,C Common,,,MONSTER,[Beast／Flip／Effect],DARK,,500.0,300.0,PHARAONIC GUARDIAN,2003-07-18,A Cat of Ill Omen,5520,21719,PGD-070C,2003-07-18
50,A Deal with Dark Ruler,"(This card is always treated as an ""Archfiend"" card.)If a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 ""Berserk Dragon"" from your hand or Deck.",DCR-EN030,C Common,,,SPELL,Quick-Play,,,,,DARK CRISIS (LC01 25th Anniversary Edition),2023-04-21,A Deal with Dark Ruler,5722,487309,DCR-EN030C,2023-04-21
51,A Deal with Dark Ruler,"(This card is always treated as an ""Archfiend"" card.)If a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 ""Berserk Dragon"" from your hand or Deck.",DCR-EN030,C Common,,,SPELL,Quick-Play,,,,,DARK CRISIS (LC01 25th Anniversary Edition),2023-04-21,A Deal with Dark Ruler,5722,476838,DCR-EN030C,2023-04-21
52,A Deal with Dark Ruler,"(This card is always treated as an ""Archfiend"" card.)If a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 ""Berserk Dragon"" from your hand or Deck.",LCJW-EN241,R Rare,,,SPELL,Quick-Play,,,,,LEGENDARY COLLECTION 4 JOEY'S WORLD MEGA PACK,2013-10-11,A Deal with Dark Ruler,5722,71820,LCJW-EN241R,2013-10-11
53,A Deal with Dark Ruler,"(This card is always treated as an ""Archfiend"" card.)If a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 ""Berserk Dragon"" from your hand or Deck.",DCR-EN030,C Common,,,SPELL,Quick-Play,,,,,DARK CRISIS (Reprint),2007-12-12,A Deal with Dark Ruler,5722,487309,DCR-EN030C,2007-12-12
54,A Deal with Dark Ruler,"(This card is always treated as an ""Archfiend"" card.)If a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 ""Berserk Dragon"" from your hand or Deck.",DCR-EN030,C Common,,,SPELL,Quick-Play,,,,,DARK CRISIS (Reprint),2007-12-12,A Deal with Dark Ruler,5722,476838,DCR-EN030C,2007-12-12
55,A Deal with Dark Ruler,"(This card is always treated as an ""Archfiend"" card.)If a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 ""Berserk Dragon"" from your hand or Deck.",DR1-EN192,C Common,,,SPELL,Quick-Play,,,,,DARK REVELATION Volume 1,2005-03-19,A Deal with Dark Ruler,5722,23979,DR1-EN192C,2005-03-19
56,A Deal with Dark Ruler,"(This card is always treated as an ""Archfiend"" card.)If a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 ""Berserk Dragon"" from your hand or Deck.",DCR-030,C Common,,,SPELL,Quick-Play,,,,,DARK CRISIS,2003-12-01,A Deal with Dark Ruler,5722,22848,DCR-030C,2003-12-01
57,A Feather of the Phoenix,"Discard 1 card, then target 1 card in your GY; return that target to the top of your Deck.",LEHD-ENA26,C Common,,,SPELL,,,,,,LEGENDARY HERO DECKS,2018-10-12,A Feather of the Phoenix,6266,177616,LEHD-ENA26C,2018-10-12
58,A Feather of the Phoenix,"Discard 1 card, then target 1 card in your GY; return that target to the top of your Deck.",LCYW-EN280,SE Secret Rare,,,SPELL,,,,,,LEGENDARY COLLECTION 3 YUGI'S WORLD MEGA PACK,2012-10-02,A Feather of the Phoenix,6266,67080,LCYW-EN280SE,2012-10-02
59,A Feather of the Phoenix,"Discard 1 card, then target 1 card in your GY; return that target to the top of your Deck.",YSDS-EN029,C Common,,,SPELL,,,,,,STARTER DECK SYRUS TRUESDALE,2007-07-25,A Feather of the Phoenix,6266,26399,YSDS-EN029C,2007-07-25
60,A Feather of the Phoenix,"Discard 1 card, then target 1 card in your GY; return that target to the top of your Deck.",CP03-EN018,C Common,,,SPELL,,,,,,CHAMPION PACK GAME THREE,2007-05-15,A Feather of the Phoenix,6266,26053,CP03-EN018C,2007-05-15
61,A Feather of the Phoenix,"Discard 1 card, then target 1 card in your GY; return that target to the top of your Deck.",DR3-EN157,SR Super Rare,,,SPELL,,,,,,DARK REVELATION Volume 3,2006-11-25,A Feather of the Phoenix,6266,25952,DR3-EN157SR,2006-11-25
62,A Feather of the Phoenix,"Discard 1 card, then target 1 card in your GY; return that target to the top of your Deck.",FET-EN037,SR Super Rare,,,SPELL,,,,,,FLAMING ETERNITY,2005-03-01,A Feather of the Phoenix,6266,23513,FET-EN037SR,2005-03-01
63,A Feather of the Phoenix,"Discard 1 card, then target 1 card in your GY; return that target to the top of your Deck.",FET-EN037,UL Ultimate Rare,,,SPELL,,,,,,FLAMING ETERNITY,2005-03-01,A Feather of the Phoenix,6266,58775,FET-EN037UL,2005-03-01
64,A Feint Plan,Monsters cannot attack face-down monsters this turn.,SGX4-END18,C Common,,,TRAP,,,,,,SPEED DUEL GX: MIDTERM DESTRUCTION,2024-03-29,A Feint Plan,5332,543817,SGX4-END18C,2024-03-29
65,A Feint Plan,Monsters cannot attack face-down monsters this turn.,LOD-032,C Common,,,TRAP,,,,,,LEGACY OF DARKNESS,2003-06-06,A Feint Plan,5332,21720,LOD-032C,2003-06-06
66,A Hero Emerges,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the GY.",IOC-EN104,C Common,,,TRAP,,,,,,INVASION OF CHAOS (LC01 25th Anniversary Edition),2023-04-21,A Hero Emerges,5915,477024,IOC-EN104C,2023-04-21
67,A Hero Emerges,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the GY.",IOC-EN104,C Common,,,TRAP,,,,,,INVASION OF CHAOS (LC01 25th Anniversary Edition),2023-04-21,A Hero Emerges,5915,487256,IOC-EN104C,2023-04-21
68,A Hero Emerges,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the GY.",SGX1-ENA19,C Common,,,TRAP,,,,,,SPEED DUEL GX: DUEL ACADEMY BOX,2022-03-18,A Hero Emerges,5915,266080,SGX1-ENA19C,2022-03-18
69,A Hero Emerges,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the GY.",YS14-EN036,C Common,,,TRAP,,,,,,SUPER STARTER SPACE-TIME SHOWDOWN,2014-07-11,A Hero Emerges,5915,91435,YS14-EN036C,2014-07-11
70,A Hero Emerges,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the GY.",BP02-EN179,C Common,,,TRAP,,,,,,BATTLE PACK 2 WAR OF THE GIANTS,2013-06-28,A Hero Emerges,5915,69404,BP02-EN179C,2013-06-28
71,A Hero Emerges,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the GY.",BP02-EN179,MR Mosaic Rare,,,TRAP,,,,,,BATTLE PACK 2 WAR OF THE GIANTS,2013-06-28,A Hero Emerges,5915,69619,BP02-EN179MR,2013-06-28
72,A Hero Emerges,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the GY.",DP1-EN025,C Common,,,TRAP,,,,,,DUELIST PACK - JADEN YUKI -,2006-02-08,A Hero Emerges,5915,25083,DP1-EN025C,2006-02-08
73,A Hero Emerges,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the GY.",DR2-EN105,C Common,,,TRAP,,,,,,DARK REVELATION Volume 2,2005-10-20,A Hero Emerges,5915,24726,DR2-EN105C,2005-10-20
74,A Hero Emerges,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the GY.",IOC-104,C Common,,,TRAP,,,,,,INVASION OF CHAOS,2004-03-01,A Hero Emerges,5915,23191,IOC-104C,2004-03-01
75,A Hero Emerges,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the GY.",IOC-EN104,C Common,,,TRAP,,,,,,INVASION OF CHAOS,2004-03-01,A Hero Emerges,5915,477024,IOC-EN104C,2004-03-01
