set_id,set_name,set_release,join_id,card_set_id
DB2-EN187,DARK BEGINNING 2,2005-07-27,DB2-EN187C,77
SD4-EN020,STRUCTURE DECK FURY FROM THE DEEP,2005-05-09,SD4-EN020C,78
HL1-EN003,HOBBY LEAGUE 1,2004-10-01,HL1-EN003C,79
LOD-078,LEGACY OF DARKNESS,2003-06-06,LOD-078C,80
STP5-EN032,SPEED DUEL TOURNAMENT PACK 5,2023-03-08,STP5-EN032C,81
SBSC-EN045,SPEED DUEL: SCARS OF BATTLE,2019-08-02,SBSC-EN045C,82
ANPR-EN080,ANCIENT PROPHECY,2009-09-01,ANPR-EN080C,83
DR1-EN016,DARK REVELATION Volume 1,2005-03-19,DR1-EN016C,84
PGD-068,PHARAONIC GUARDIAN,2003-07-18,PGD-068C,85
DR04-EN054,DARK REVELATION Volume 4,2007-11-14,DR04-EN054C,86
CRV-EN054,CYBERNETIC REVOLUTION,2005-08-06,CRV-EN054C,87
MP24-EN353,25TH ANNIVERSARY TIN: DUELING MIRRORS,2024-09-20,MP24-EN353C,88
CYAC-EN074,CYBERSTORM ACCESS,2023-05-05,CYAC-EN074C,89
LED7-EN052,LEGENDARY DUELISTS: RAGE OF RA,2020-09-25,LED7-EN052R,90
MP15-EN234,2015 MEGA-TINS MEGA PACK,2015-09-18,MP15-EN234SE,91
SECE-EN064,SECRETS OF ETERNITY,2015-01-16,SECE-EN064SE,92
SR02-EN027,RISE OF THE TRUE DRAGONS STRUCTURE DECK,2016-07-08,SR02-EN027C,93
SDBE-EN023,SAGA OF BLUE-EYES WHITE DRAGON STRUCTURE DECK,2013-09-13,SDBE-EN023C,94
SDDC-EN028,DRAGONS COLLIDE STRUCTURE DECK,2012-02-07,SDDC-EN028C,95
SDRL-EN025,RISE OF THE DRAGON LORDS STRUCTURE DECK,2007-10-24,SDRL-EN025C,96
DB2-EN159,DARK BEGINNING 2,2005-07-27,DB2-EN159C,97
LOD-044,LEGACY OF DARKNESS,2003-06-06,LOD-044C,98
LCKC-EN019,LEGENDARY COLLECTION KAIBA MEGA PACK,2018-03-09,LCKC-EN019SE,99
DR3-EN093,DARK REVELATION Volume 3,2006-11-25,DR3-EN093R,100
RDS-EN033,RISE OF DESTINY,2004-12-01,RDS-EN033R,101
MZTM-EN024,MAZE OF THE MASTER,2025-03-14,MZTM-EN024R,102
LIOV-EN076,LIGHTNING OVERDRIVE,2021-06-04,LIOV-EN076C,103
ALIN-EN054,ALLIANCE INSIGHT,2025-05-02,ALIN-EN054SR,104
MP21-EN073,2021 TIN OF ANCIENT BATTLES,2021-10-01,MP21-EN073UR,105
ETCO-EN056,ETERNITY CODE,2020-05-01,ETCO-EN056SR,106
MP21-EN024,2021 TIN OF ANCIENT BATTLES,2021-10-01,MP21-EN024C,107
IGAS-EN053,IGNITION ASSAULT,2020-01-31,IGAS-EN053R,108
MP22-EN095,2022 TIN OF THE PHARAOH'S GODS,2022-09-16,MP22-EN095UR,109
LIOV-EN060,LIGHTNING OVERDRIVE,2021-06-04,LIOV-EN060C,110
MP21-EN029,2021 TIN OF ANCIENT BATTLES,2021-10-01,MP21-EN029C,111
IGAS-EN069,IGNITION ASSAULT,2020-01-31,IGAS-EN069C,112
MP21-EN025,2021 TIN OF ANCIENT BATTLES,2021-10-01,MP21-EN025C,113
IGAS-EN054,IGNITION ASSAULT,2020-01-31,IGAS-EN054C,114
BROL-EN042,BROTHERS OF LEGEND,2021-12-03,BROL-EN042UR,115
MP21-EN023,2021 TIN OF ANCIENT BATTLES,2021-10-01,MP21-EN023C,116
IGAS-EN052,IGNITION ASSAULT,2020-01-31,IGAS-EN052R,117
MP21-EN083,2021 TIN OF ANCIENT BATTLES,2021-10-01,MP21-EN083C,118
ETCO-EN073,ETERNITY CODE,2020-05-01,ETCO-EN073C,119
BPW2-EN032,BATTLE PACK 2 WAR OF THE GIANTS ROUND 2,2014-01-17,BPW2-EN032C,120
DP10-EN010,DUELIST PACK - YUSEI 3 -,2011-01-25,DP10-EN010C,121
DREV-EN005,DUELIST REVOLUTION,2010-08-17,DREV-EN005C,122
YSDS-EN020,STARTER DECK SYRUS TRUESDALE,2007-07-25,YSDS-EN020C,123
CDIP-EN013,CYBERDARK IMPACT,2006-11-15,CDIP-EN013C,124
DR3-EN146,DARK REVELATION Volume 3,2006-11-25,DR3-EN146C,125
FET-EN026,FLAMING ETERNITY,2005-03-01,FET-EN026C,126
RA04-EN271,QUARTER CENTURY STAMPEDE,2025-04-11,RA04-EN271PS,127
OP13-EN006,OTS TOURNAMENT PACK 13,2020-06-15,OP13-EN006SR,128
LCKC-EN059,LEGENDARY COLLECTION KAIBA MEGA PACK,2018-03-09,LCKC-EN059SE,129
ALIN-EN080,ALLIANCE INSIGHT,2025-05-02,ALIN-EN080SR,130
MP20-EN192,2020 TIN OF LOST MEMORIES,2020-08-28,MP20-EN192C,131
CHIM-EN070,CHAOS IMPACT,2019-10-25,CHIM-EN070C,132
VASM-EN051,VALIANT SMASHERS,2023-11-17,VASM-EN051R,133
IGAS-EN019,IGNITION ASSAULT,2020-01-31,IGAS-EN019SR,134
RA02-EN064,25TH ANNIVERSARY RARITY COLLECTION 2,2024-05-24,RA02-EN064SR,135
MP20-EN182,2020 TIN OF LOST MEMORIES,2020-08-28,MP20-EN182UR,136
CHIM-EN054,CHAOS IMPACT,2019-10-25,CHIM-EN054SE,137
DUAD-EN034,DUELIST'S ADVANCE,2025-07-04,DUAD-EN034C,138
SBC2-ENC04,SPEED DUEL: BATTLE CITY FINALS,2024-12-13,SBC2-ENC04C,139
LEDD-ENA13,LEGENDARY DRAGON DECKS,2017-10-06,LEDD-ENA13C,140
GENF-EN036,GENERATION FORCE,2011-08-16,GENF-EN036SR,141
DR3-EN050,DARK REVELATION Volume 3,2006-11-25,DR3-EN050C,142
SOD-EN050,SOUL OF THE DUELIST,2004-10-01,SOD-EN050C,143
RA04-EN244,QUARTER CENTURY STAMPEDE,2025-04-11,RA04-EN244PS,144
OP26-EN004,OTS TOURNAMENT PACK 26,2024-10-10,OP26-EN004SR,145
SDCK-EN016,STRUCTURE DECK: THE CRIMSON KING,2023-09-22,SDCK-EN016C,146
SR13-EN024,STRUCTURE DECK: DARK WORLD,2022-12-02,SR13-EN024C,147
TAMA-EN048,TACTICAL MASTERS,2022-08-26,TAMA-EN048R,148
SR06-EN020,STRUCTURE DECK : LAIR OF DARKNESS,2018-04-20,SR06-EN020C,149
PGL2-EN002,PREMIUM GOLD: RETURN OF THE BLING,2015-03-20,PGL2-EN002GSE,150
SDCK-EN025,STRUCTURE DECK: THE CRIMSON KING,2023-09-22,SDCK-EN025C,151
BLMM-EN164,BATTLES OF LEGEND: MONSTER MAYHEM (Americas only),2025-06-13,BLMM-EN164SE,152
CORE-EN092,CLASH OF REBELLIONS,2015-08-07,CORE-EN092UR,153
SGX3-ENA12,SPEED DUEL GX: DUELISTS OF SHADOWS,2023-03-31,SGX3-ENA12C,154
SBCB-EN031,Speed Duel: Battle City Box,2020-11-26,SBCB-EN031C,155
GAOV-EN037,GALACTIC OVERLORD,2012-05-08,GAOV-EN037R,156
DR2-EN185,DARK REVELATION Volume 2,2005-10-20,DR2-EN185C,157
AST-072,ANCIENT SANCTUARY,2004-06-01,AST-072C,158
SDRR-EN005,STRUCTURE DECK: ROKKET REVOLT,2019-08-16,SDRR-EN005SR,159
LDS2-EN061,LEGENDARY DUELISTS: SEASON 2,2021-01-22,LDS2-EN061C,160
LED3-EN046,LEGENDARY DUELISTS: WHITE DRAGON ABYSS,2018-09-28,LED3-EN046R,161
OP21-EN015,OTS TOURNAMENT PACK 21,2023-02-08,OP21-EN015C,162
BLLR-EN012,BATTLES OF LEGEND -LIGHT'S REVENGE-,2017-07-07,BLLR-EN012UR,163
DESO-EN016,DESTINY SOLDIERS,2016-11-18,DESO-EN016SE,164
LDS2-EN058,LEGENDARY DUELISTS: SEASON 2,2021-01-22,LDS2-EN058C,165
DESO-EN020,DESTINY SOLDIERS,2016-11-18,DESO-EN020SR,166
DESO-EN017,DESTINY SOLDIERS,2016-11-18,DESO-EN017SR,167
DUOV-EN022,DUEL OVERLOAD,2020-03-20,DUOV-EN022UR,168
LED3-EN051,LEGENDARY DUELISTS: WHITE DRAGON ABYSS,2018-09-28,LED3-EN051C,169
DESO-EN021,DESTINY SOLDIERS,2016-11-18,DESO-EN021SE,170
PHHY-EN016,PHOTON HYPERNOVA,2023-02-10,PHHY-EN016C,171
LDS2-EN060,LEGENDARY DUELISTS: SEASON 2,2021-01-22,LDS2-EN060C,172
LED3-EN045,LEGENDARY DUELISTS: WHITE DRAGON ABYSS,2018-09-28,LED3-EN045SR,173
DESO-EN019,DESTINY SOLDIERS,2016-11-18,DESO-EN019SR,174
PHHY-EN049,PHOTON HYPERNOVA,2023-02-10,PHHY-EN049C,175
LED3-EN050,LEGENDARY DUELISTS: WHITE DRAGON ABYSS,2018-09-28,LED3-EN050C,176
DESO-EN018,DESTINY SOLDIERS,2016-11-18,DESO-EN018SE,177
LED3-EN052,LEGENDARY DUELISTS: WHITE DRAGON ABYSS,2018-09-28,LED3-EN052C,178
MP18-EN101,2018 MEGA-TINS MEGA PACK,2018-08-31,MP18-EN101C,179
COTD-EN097,CODE OF THE DUELIST,2017-08-04,COTD-EN097C,180
ROTD-EN081,RISE OF THE DUELIST,2020-08-07,ROTD-EN081C,181
LDS2-EN059,LEGENDARY DUELISTS: SEASON 2,2021-01-22,LDS2-EN059C,182
DESO-EN022,DESTINY SOLDIERS,2016-11-18,DESO-EN022SE,183
LED3-EN055,LEGENDARY DUELISTS: WHITE DRAGON ABYSS,2018-09-28,LED3-EN055C,184
DESO-EN028,DESTINY SOLDIERS,2016-11-18,DESO-EN028SR,185
LDS2-EN064,LEGENDARY DUELISTS: SEASON 2,2021-01-22,LDS2-EN064C,186
LED3-EN049,LEGENDARY DUELISTS: WHITE DRAGON ABYSS,2018-09-28,LED3-EN049C,187
PHHY-EN063,PHOTON HYPERNOVA,2023-02-10,PHHY-EN063SR,188
CRBR-EN012,CROSSOVER BREAKERS,2024-12-06,CRBR-EN012R,189
RA02-EN033,25TH ANNIVERSARY RARITY COLLECTION 2,2024-05-24,RA02-EN033SR,190
OP20-EN020,OTS TOURNAMENT PACK 20,2022-10-07,OP20-EN020C,191
OP13-EN002,OTS TOURNAMENT PACK 13,2020-06-15,OP13-EN002UL,192
DUDE-EN016,Duel Devastator,2019-10-11,DUDE-EN016UR,193
PGL3-EN068,PREMIUM GOLD: INFINITE GOLD,2016-03-18,PGL3-EN068GR,194
THSF-EN047,THE SECRET FORCES,2015-02-13,THSF-EN047SR,195
ABYR-EN084,ABYSS RISING,2012-11-09,ABYR-EN084SR,196
MP22-EN234,2022 TIN OF THE PHARAOH'S GODS,2022-09-16,MP22-EN234UR,197
BODE-EN083,BURST OF DESTINY,2021-11-05,BODE-EN083C,198
LDS2-EN063,LEGENDARY DUELISTS: SEASON 2,2021-01-22,LDS2-EN063C,199
LED3-EN048,LEGENDARY DUELISTS: WHITE DRAGON ABYSS,2018-09-28,LED3-EN048R,200
DESO-EN026,DESTINY SOLDIERS,2016-11-18,DESO-EN026SR,201
BLLR-EN013,BATTLES OF LEGEND -LIGHT'S REVENGE-,2017-07-07,BLLR-EN013UR,202
PHHY-EN064,PHOTON HYPERNOVA,2023-02-10,PHHY-EN064C,203
DESO-EN023,DESTINY SOLDIERS,2016-11-18,DESO-EN023SR,204
DESO-EN025,DESTINY SOLDIERS,2016-11-18,DESO-EN025SR,205
LED3-EN053,LEGENDARY DUELISTS: WHITE DRAGON ABYSS,2018-09-28,LED3-EN053C,206
DESO-EN024,DESTINY SOLDIERS,2016-11-18,DESO-EN024SR,207
LED3-EN054,LEGENDARY DUELISTS: WHITE DRAGON ABYSS,2018-09-28,LED3-EN054C,208
DESO-EN027,DESTINY SOLDIERS,2016-11-18,DESO-EN027SE,209
LDS2-EN062,LEGENDARY DUELISTS: SEASON 2,2021-01-22,LDS2-EN062C,210
LED3-EN047,LEGENDARY DUELISTS: WHITE DRAGON ABYSS,2018-09-28,LED3-EN047R,211
RA03-EN030,QUARTER CENTURY BONANZA,2024-11-07,RA03-EN030SR,212
LED9-EN001,LEGENDARY DUELISTS: DUELS FROM THE DEEP,2022-06-17,LED9-EN001UR,213
SDRE-EN014,REALM OF THE SEA EMPEROR STRUCTURE DECK,2012-10-16,SDRE-EN014C,214
CP02-EN007,CHAMPION PACK GAME TWO,2007-02-06,CP02-EN007R,215
CMC-EN001,Yu-Gi-Oh! CAPSULE MONSTER COLISEUM Bundles,2004-11-26,CMC-EN001SR,216
MP16-EN036,2016 MEGA-TINS MEGA PACK,2016-09-02,MP16-EN036C,217
CROS-EN077,CROSSED SOULS,2015-05-15,CROS-EN077C,218
ABYR-EN028,ABYSS RISING,2012-11-09,ABYR-EN028C,219
CBLZ-EN061,COSMO BLAZER,2013-01-25,CBLZ-EN061C,220
ABYR-EN056,ABYSS RISING,2012-11-09,ABYR-EN056C,221
MP14-EN040,2014 MEGA-TINS MEGA PACK,2014-08-29,MP14-EN040C,222
LTGY-EN064,LORD OF THE TACHYON GALAXY,2013-05-17,LTGY-EN064C,223
CBLZ-EN075,COSMO BLAZER,2013-01-25,CBLZ-EN075C,224
ABYR-EN072,ABYSS RISING,2012-11-09,ABYR-EN072UR,225
ABYR-EN071,ABYSS RISING,2012-11-09,ABYR-EN071SR,226
SUDA-EN077,SUPREME DARKNESS,2025-01-24,SUDA-EN077SR,227
MP25-EN253,2025 MEGA-PACK TIN,2025-09-05,MP25-EN253UR,228
ROTA-EN062,RAGE OF THE ABYSS,2024-10-11,ROTA-EN062C,229
ABYR-EN073,ABYSS RISING,2012-11-09,ABYR-EN073R,230
DR3-EN040,DARK REVELATION Volume 3,2006-11-25,DR3-EN040C,231
SOD-EN040,SOUL OF THE DUELIST,2004-10-01,SOD-EN040C,232
BP01-EN155,BATTLE PACK EPIC DAWN,2012-05-28,BP01-EN155C,233
TU05-EN013,TURBO PACK BOOSTER FIVE,2011-04-09,TU05-EN013C,234
TAEV-EN084,TACTICAL EVOLUTION,2007-08-15,TAEV-EN084SE,235
MP25-EN244,2025 MEGA-PACK TIN,2025-09-05,MP25-EN244UR,236
ROTA-EN017,RAGE OF THE ABYSS,2024-10-11,ROTA-EN017SE,237
SUDA-EN046,SUPREME DARKNESS,2025-01-24,SUDA-EN046SR,238
MP24-EN030,25TH ANNIVERSARY TIN: DUELING MIRRORS,2024-09-20,MP24-EN030QCSE,239
MAZE-EN019,MAZE OF MEMORIES,2023-03-10,MAZE-EN019UR,240
LDS3-EN120,LEGENDARY DUELISTS: SEASON 3,2022-07-22,LDS3-EN120C,241
LED6-EN028,LEGENDARY DUELISTS: MAGICAL HERO,2020-01-17,LED6-EN028C,242
SDSE-EN042,SYNCHRON EXTREME STRUCTURE DECK,2015-08-28,SDSE-EN042SR,243
LED3-EN044,LEGENDARY DUELISTS: WHITE DRAGON ABYSS,2018-09-28,LED3-EN044C,244
ZTIN-EN016,ZEXAL COLLECTION TIN,2013-03-08,ZTIN-EN016UR,245
MP25-EN272,2025 MEGA-PACK TIN,2025-09-05,MP25-EN272UR,246
RA04-EN079,QUARTER CENTURY STAMPEDE,2025-04-11,RA04-EN079QCSE,247
RA02-EN044,25TH ANNIVERSARY RARITY COLLECTION 2,2024-05-24,RA02-EN044SR,248
BLCR-EN093,BATTLES OF LEGEND: CRYSTAL REVENGE,2022-11-18,BLCR-EN093SE,249
MGED-EN037,MAXIMUM GOLD: EL DORADO,2021-11-19,MGED-EN037PGR,250
ETCO-EN046,ETERNITY CODE,2020-05-01,ETCO-EN046SE,251
CDIP-EN057,CYBERDARK IMPACT,2006-11-15,CDIP-EN057C,252
BLTR-EN039,BATTLES OF LEGEND: TERMINAL REVENGE,2024-06-21,BLTR-EN039SE,253
YS13-EN014,SUPER STARTER V FOR VICTORY,2013-06-14,YS13-EN014C,254
SP13-EN004,STAR PACK 2013,2013-03-01,SP13-EN004C,255
GENF-EN003,GENERATION FORCE,2011-08-16,GENF-EN003C,256
ABYR-EN003,ABYSS RISING,2012-11-09,ABYR-EN003C,257
OP28-EN019,OTS TOURNAMENT PACK 28,2025-06-18,OP28-EN019C,258
MP21-EN003,2021 TIN OF ANCIENT BATTLES,2021-10-01,MP21-EN003UR,259
IGAS-EN004,IGNITION ASSAULT,2020-01-31,IGAS-EN004SE,260
SBC1-ENI14,SPEED DUEL: STREETS OF BATTLE CITY,2023-08-25,SBC1-ENI14C,261
DL8-EN001,DUELIST LEAGUE SERIES 8,2005-06-30,DL8-EN001SR,262
SBCB-EN102,Speed Duel: Battle City Box,2020-11-26,SBCB-EN102C,263
MIL1-EN044,MILLENNIUM PACK,2016-04-15,MIL1-EN044R,264
LCYW-EN283,LEGENDARY COLLECTION 3 YUGI'S WORLD MEGA PACK,2012-10-02,LCYW-EN283R,265
SDMA-EN029,STRUCTURE DECK - MARIK -,2010-10-19,SDMA-EN029C,266
SOI-ENSE1,SHADOW OF INFINITY SPECIAL EDITION,2006-04-01,SOI-ENSE1SE,267
DDS-005,Yu-Gi-Oh! Dark Duel Stories Bundles,2002-03-19,DDS-005SE,268
PTDN-EN058,PHANTOM DARKNESS,2008-02-13,PTDN-EN058C,269
PHSW-EN006,PHOTON SHOCKWAVE,2011-11-15,PHSW-EN006C,270
DCR-EN003,DARK CRISIS (LC01 25th Anniversary Edition),2023-04-21,DCR-EN003C,271
YSDS-EN004,STARTER DECK SYRUS TRUESDALE,2007-07-25,YSDS-EN004C,272
DR1-EN165,DARK REVELATION Volume 1,2005-03-19,DR1-EN165C,273
DCR-003,DARK CRISIS,2003-12-01,DCR-003C,274
TDIL-EN009,THE DARK ILLUSION,2016-08-05,TDIL-EN009R,275
CHIM-EN094,CHAOS IMPACT,2019-10-25,CHIM-EN094C,276
CHIM-EN093,CHAOS IMPACT,2019-10-25,CHIM-EN093C,277
MP22-EN192,2022 TIN OF THE PHARAOH'S GODS,2022-09-16,MP22-EN192C,278
BODE-EN011,BURST OF DESTINY,2021-11-05,BODE-EN011SR,279
MP21-EN226,2021 TIN OF ANCIENT BATTLES,2021-10-01,MP21-EN226SR,280
SESL-EN003,SECRET SLAYERS,2020-04-02,SESL-EN003SE,281
MP21-EN229,2021 TIN OF ANCIENT BATTLES,2021-10-01,MP21-EN229C,282
SESL-EN006,SECRET SLAYERS,2020-04-02,SESL-EN006SR,283
MP21-EN227,2021 TIN OF ANCIENT BATTLES,2021-10-01,MP21-EN227C,284
SESL-EN004,SECRET SLAYERS,2020-04-02,SESL-EN004SR,285
MP21-EN228,2021 TIN OF ANCIENT BATTLES,2021-10-01,MP21-EN228C,286
SESL-EN005,SECRET SLAYERS,2020-04-02,SESL-EN005SR,287
MP21-EN142,2021 TIN OF ANCIENT BATTLES,2021-10-01,MP21-EN142R,288
ROTD-EN061,RISE OF THE DUELIST,2020-08-07,ROTD-EN061SE,289
MP21-EN233,2021 TIN OF ANCIENT BATTLES,2021-10-01,MP21-EN233C,290
SESL-EN010,SECRET SLAYERS,2020-04-02,SESL-EN010SR,291
MP21-EN235,2021 TIN OF ANCIENT BATTLES,2021-10-01,MP21-EN235SR,292
SESL-EN012,SECRET SLAYERS,2020-04-02,SESL-EN012SE,293
MP21-EN225,2021 TIN OF ANCIENT BATTLES,2021-10-01,MP21-EN225UR,294
SESL-EN002,SECRET SLAYERS,2020-04-02,SESL-EN002SE,295
MP21-EN236,2021 TIN OF ANCIENT BATTLES,2021-10-01,MP21-EN236C,296
SESL-EN013,SECRET SLAYERS,2020-04-02,SESL-EN013SR,297
OP25-EN019,OTS TOURNAMENT PACK 25,2024-06-12,OP25-EN019C,298
MP21-EN232,2021 TIN OF ANCIENT BATTLES,2021-10-01,MP21-EN232UR,299
SESL-EN009,SECRET SLAYERS,2020-04-02,SESL-EN009SE,300
MP21-EN230,2021 TIN OF ANCIENT BATTLES,2021-10-01,MP21-EN230UR,301
SESL-EN007,SECRET SLAYERS,2020-04-02,SESL-EN007SE,302
MP21-EN231,2021 TIN OF ANCIENT BATTLES,2021-10-01,MP21-EN231UR,303
SESL-EN008,SECRET SLAYERS,2020-04-02,SESL-EN008SR,304
MP21-EN224,2021 TIN OF ANCIENT BATTLES,2021-10-01,MP21-EN224SR,305
SESL-EN001,SECRET SLAYERS,2020-04-02,SESL-EN001SE,306
MP21-EN234,2021 TIN OF ANCIENT BATTLES,2021-10-01,MP21-EN234PSE,307
SESL-EN011,SECRET SLAYERS,2020-04-02,SESL-EN011SR,308
BLMR-EN047,BATTLES OF LEGEND: MONSTROUS REVENGE,2023-06-23,BLMR-EN047UR,309
STP2-EN018,SPEED DUEL TOURNAMENT PACK 02,2019-10-11,STP2-EN018SR,310
SS03-ENB28,SPEED DUEL STARTER DECKS: ULTIMATE PREDATORS,2019-08-02,SS03-ENB28C,311
BPW2-EN083,BATTLE PACK 2 WAR OF THE GIANTS ROUND 2,2014-01-17,BPW2-EN083SR,312
