card_id,card_set_id,name,description,rarity,price,volatility_id,type_id,sub_type,attribute_id,rank,attack,defense
18,17,1st Movement Solo,"If you control no monsters: Special Summon 1 Level 4 or lower Melodious monster from your hand or Deck. You can only activate 1 1st Movement Solo per turn. You cannot Special Summon monsters during the turn you activate this card, except Melodious monsters.",SR Super Rare,3.51,1,1,NONE,1,NONE,0.0,0.0
19,18,3-Hump Lacooda,"If there are 3 face-up 3-Hump Lacooda cards on your side of the field, Tribute 2 of them to draw 3 cards.",C Common,0.17,3,2,[Beast／Effect],2,Level 3,500.0,1500.0
20,19,3-Hump Lacooda,"If there are 3 face-up 3-Hump Lacooda cards on your side of the field, Tribute 2 of them to draw 3 cards.",C Common,0.16,3,2,[Beast／Effect],2,Level 3,500.0,1500.0
21,20,4-Starred Ladybug of Doom,FLIP: Destroy all Level 4 monsters your opponent controls.,C Common,0.54,3,2,[Insect／Flip／Effect],3,Level 3,800.0,1200.0
22,20,4-Starred Ladybug of Doom,FLIP: Destroy all Level 4 monsters your opponent controls.,C Common,0.13,1,2,[Insect／Flip／Effect],3,Level 3,800.0,1200.0
23,21,4-Starred Ladybug of Doom,FLIP: Destroy all Level 4 monsters your opponent controls.,C Common,0.07,3,2,[Insect／Flip／Effect],3,Level 3,800.0,1200.0
24,22,4-Starred Ladybug of Doom,FLIP: Destroy all Level 4 monsters your opponent controls.,C Common,0.19,3,2,[Insect／Flip／Effect],3,Level 3,800.0,1200.0
25,22,4-Starred Ladybug of Doom,FLIP: Destroy all Level 4 monsters your opponent controls.,C Common,0.08,3,2,[Insect／Flip／Effect],3,Level 3,800.0,1200.0
26,23,4-Starred Ladybug of Doom,FLIP: Destroy all Level 4 monsters your opponent controls.,C Common,0.24,3,2,[Insect／Flip／Effect],3,Level 3,800.0,1200.0
27,24,4-Starred Ladybug of Doom,FLIP: Destroy all Level 4 monsters your opponent controls.,C Common,0.15,3,2,[Insect／Flip／Effect],3,Level 3,800.0,1200.0
28,25,7,"When there are 3 face-up 7 cards on your side of the field, draw 3 cards from your Deck. Then destroy all 7 cards. When this card is sent directly from the field to your Graveyard, increase your Life Points by 700 points.",C Common,1.45,3,1,Continuous,1,NONE,0.0,0.0
29,26,7,"When there are 3 face-up 7 cards on your side of the field, draw 3 cards from your Deck. Then destroy all 7 cards. When this card is sent directly from the field to your Graveyard, increase your Life Points by 700 points.",C Common,0.93,3,1,Continuous,1,NONE,0.0,0.0
30,27,7 Colored Fish,A rare rainbow fish that has never been caught by mortal man.,C Common,0.21,1,2,[Fish／Normal],4,Level 4,1800.0,800.0
31,28,7 Colored Fish,A rare rainbow fish that has never been caught by mortal man.,C Common,1.31,3,2,[Fish／Normal],4,Level 4,1800.0,800.0
32,28,7 Colored Fish,A rare rainbow fish that has never been caught by mortal man.,C Common,0.19,5,2,[Fish／Normal],4,Level 4,1800.0,800.0
33,29,7 Colored Fish,A rare rainbow fish that has never been caught by mortal man.,C Common,0.4,3,2,[Fish／Normal],4,Level 4,1800.0,800.0
34,30,7 Colored Fish,A rare rainbow fish that has never been caught by mortal man.,C Common,0.6,3,2,[Fish／Normal],4,Level 4,1800.0,800.0
35,31,7 Colored Fish,A rare rainbow fish that has never been caught by mortal man.,C Common,0.3,3,2,[Fish／Normal],4,Level 4,1800.0,800.0
36,32,7 Colored Fish,A rare rainbow fish that has never been caught by mortal man.,C Common,0.36,3,2,[Fish／Normal],4,Level 4,1800.0,800.0
37,33,7 Completed,"Activate this card by choosing ATK or DEF; equip only to a Machine monster. It gains 700 ATK or DEF, depending on the choice.",C Common,0.19,5,1,Equip,1,NONE,0.0,0.0
38,33,7 Completed,"Activate this card by choosing ATK or DEF; equip only to a Machine monster. It gains 700 ATK or DEF, depending on the choice.",C Common,0.0,4,1,Equip,1,NONE,0.0,0.0
39,34,7 Completed,"Activate this card by choosing ATK or DEF; equip only to a Machine monster. It gains 700 ATK or DEF, depending on the choice.",C Common,0.14,1,1,Equip,1,NONE,0.0,0.0
40,35,7 Completed,"Activate this card by choosing ATK or DEF; equip only to a Machine monster. It gains 700 ATK or DEF, depending on the choice.",C Common,0.21,3,1,Equip,1,NONE,0.0,0.0
41,35,7 Completed,"Activate this card by choosing ATK or DEF; equip only to a Machine monster. It gains 700 ATK or DEF, depending on the choice.",SH Shatterfoil,0.42,3,1,Equip,1,NONE,0.0,0.0
42,36,7 Completed,"Activate this card by choosing ATK or DEF; equip only to a Machine monster. It gains 700 ATK or DEF, depending on the choice.",C Common,0.17,5,1,Equip,1,NONE,0.0,0.0
43,37,8-Claws Scorpion,"Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster, this card's ATK becomes 2400 during damage calculation only.",C Common,0.13,3,2,[Insect／Effect],5,Level 2,300.0,200.0
44,38,8-Claws Scorpion,"Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster, this card's ATK becomes 2400 during damage calculation only.",C Common,0.12,3,2,[Insect／Effect],5,Level 2,300.0,200.0
45,39,"A Bao A Qu, the Lightless Shadow","2+ monsters, including a Fiend monsterDuring the Main Phase (Quick Effect): You can discard 1 card, then activate 1 of these effects;●Destroy 1 card on the field.●Banish this card (until the End Phase), and if you do, Special Summon 1 LIGHT or DARK monster from your GY.During your Standby Phase: You can draw cards equal to the number of different Monster Types in your GY, then place cards from your hand on the bottom of the Deck in any order, equal to the number of cards you drew. You can only use each effect of A Bao A Qu, the Lightless Shadow once per turn.",SE Secret Rare,12.53,5,2,[Fiend／Link／Effect],5,Link 4 P4613,2800.0,0.0
46,39,"A Bao A Qu, the Lightless Shadow","2+ monsters, including a Fiend monsterDuring the Main Phase (Quick Effect): You can discard 1 card, then activate 1 of these effects;●Destroy 1 card on the field.●Banish this card (until the End Phase), and if you do, Special Summon 1 LIGHT or DARK monster from your GY.During your Standby Phase: You can draw cards equal to the number of different Monster Types in your GY, then place cards from your hand on the bottom of the Deck in any order, equal to the number of cards you drew. You can only use each effect of A Bao A Qu, the Lightless Shadow once per turn.",QCSE Quarter Century Secret Rare,101.42,5,2,[Fiend／Link／Effect],5,Link 4 P4613,2800.0,0.0
47,40,A Cat of Ill Omen,"FLIP: Choose 1 Trap from your Deck and place it on top of your Deck, or, if Necrovalley is on the field, you can add that Trap to your hand instead.",C Common,1.74,3,2,[Beast／Flip／Effect],5,Level 2,500.0,300.0
48,41,A Cat of Ill Omen,"FLIP: Choose 1 Trap from your Deck and place it on top of your Deck, or, if Necrovalley is on the field, you can add that Trap to your hand instead.",C Common,2.51,3,2,[Beast／Flip／Effect],5,Level 2,500.0,300.0
49,42,A Cat of Ill Omen,"FLIP: Choose 1 Trap from your Deck and place it on top of your Deck, or, if Necrovalley is on the field, you can add that Trap to your hand instead.",C Common,2.4,3,2,[Beast／Flip／Effect],5,Level 2,500.0,300.0
50,43,A Deal with Dark Ruler,(This card is always treated as an Archfiend card.)If a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 Berserk Dragon from your hand or Deck.,C Common,0.2,3,1,Quick-Play,1,NONE,0.0,0.0
51,43,A Deal with Dark Ruler,(This card is always treated as an Archfiend card.)If a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 Berserk Dragon from your hand or Deck.,C Common,0.0,4,1,Quick-Play,1,NONE,0.0,0.0
52,44,A Deal with Dark Ruler,(This card is always treated as an Archfiend card.)If a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 Berserk Dragon from your hand or Deck.,R Rare,0.27,3,1,Quick-Play,1,NONE,0.0,0.0
53,43,A Deal with Dark Ruler,(This card is always treated as an Archfiend card.)If a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 Berserk Dragon from your hand or Deck.,C Common,0.2,3,1,Quick-Play,1,NONE,0.0,0.0
54,43,A Deal with Dark Ruler,(This card is always treated as an Archfiend card.)If a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 Berserk Dragon from your hand or Deck.,C Common,0.0,4,1,Quick-Play,1,NONE,0.0,0.0
55,45,A Deal with Dark Ruler,(This card is always treated as an Archfiend card.)If a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 Berserk Dragon from your hand or Deck.,C Common,0.2,3,1,Quick-Play,1,NONE,0.0,0.0
56,46,A Deal with Dark Ruler,(This card is always treated as an Archfiend card.)If a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 Berserk Dragon from your hand or Deck.,C Common,0.27,3,1,Quick-Play,1,NONE,0.0,0.0
57,47,A Feather of the Phoenix,"Discard 1 card, then target 1 card in your GY; return that target to the top of your Deck.",C Common,0.27,5,1,NONE,1,NONE,0.0,0.0
58,48,A Feather of the Phoenix,"Discard 1 card, then target 1 card in your GY; return that target to the top of your Deck.",SE Secret Rare,0.81,5,1,NONE,1,NONE,0.0,0.0
59,49,A Feather of the Phoenix,"Discard 1 card, then target 1 card in your GY; return that target to the top of your Deck.",C Common,0.62,3,1,NONE,1,NONE,0.0,0.0
60,50,A Feather of the Phoenix,"Discard 1 card, then target 1 card in your GY; return that target to the top of your Deck.",C Common,0.65,3,1,NONE,1,NONE,0.0,0.0
61,51,A Feather of the Phoenix,"Discard 1 card, then target 1 card in your GY; return that target to the top of your Deck.",SR Super Rare,3.84,3,1,NONE,1,NONE,0.0,0.0
62,52,A Feather of the Phoenix,"Discard 1 card, then target 1 card in your GY; return that target to the top of your Deck.",SR Super Rare,0.62,3,1,NONE,1,NONE,0.0,0.0
63,52,A Feather of the Phoenix,"Discard 1 card, then target 1 card in your GY; return that target to the top of your Deck.",UL Ultimate Rare,0.0,4,1,NONE,1,NONE,0.0,0.0
64,53,A Feint Plan,Monsters cannot attack face-down monsters this turn.,C Common,0.09,3,3,NONE,1,NONE,0.0,0.0
65,54,A Feint Plan,Monsters cannot attack face-down monsters this turn.,C Common,0.13,3,3,NONE,1,NONE,0.0,0.0
66,55,A Hero Emerges,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the GY.",C Common,0.39,3,3,NONE,1,NONE,0.0,0.0
67,55,A Hero Emerges,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the GY.",C Common,0.1,5,3,NONE,1,NONE,0.0,0.0
68,56,A Hero Emerges,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the GY.",C Common,0.13,5,3,NONE,1,NONE,0.0,0.0
69,57,A Hero Emerges,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the GY.",C Common,0.12,3,3,NONE,1,NONE,0.0,0.0
70,58,A Hero Emerges,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the GY.",C Common,0.48,3,3,NONE,1,NONE,0.0,0.0
71,58,A Hero Emerges,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the GY.",MR Mosaic Rare,0.19,3,3,NONE,1,NONE,0.0,0.0
72,59,A Hero Emerges,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the GY.",C Common,0.15,3,3,NONE,1,NONE,0.0,0.0
73,60,A Hero Emerges,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the GY.",C Common,0.2,3,3,NONE,1,NONE,0.0,0.0
74,61,A Hero Emerges,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the GY.",C Common,0.12,3,3,NONE,1,NONE,0.0,0.0
75,55,A Hero Emerges,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the GY.",C Common,0.39,3,3,NONE,1,NONE,0.0,0.0
76,55,A Hero Emerges,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the GY.",C Common,0.1,5,3,NONE,1,NONE,0.0,0.0
77,62,A Hero Lives,If you control no face-up monsters: Pay half your LP; Special Summon 1 Level 4 or lower Elemental HERO monster from your Deck.,SR Super Rare,0.09,1,1,NONE,1,NONE,0.0,0.0
78,62,A Hero Lives,If you control no face-up monsters: Pay half your LP; Special Summon 1 Level 4 or lower Elemental HERO monster from your Deck.,UR Ultra Rare,0.08,1,1,NONE,1,NONE,0.0,0.0
79,62,A Hero Lives,If you control no face-up monsters: Pay half your LP; Special Summon 1 Level 4 or lower Elemental HERO monster from your Deck.,SE Secret Rare,0.22,1,1,NONE,1,NONE,0.0,0.0
80,62,A Hero Lives,If you control no face-up monsters: Pay half your LP; Special Summon 1 Level 4 or lower Elemental HERO monster from your Deck.,PS Platinum Secret Rare,0.69,1,1,NONE,1,NONE,0.0,0.0
81,62,A Hero Lives,If you control no face-up monsters: Pay half your LP; Special Summon 1 Level 4 or lower Elemental HERO monster from your Deck.,QCSE Quarter Century Secret Rare,7.52,1,1,NONE,1,NONE,0.0,0.0
82,63,A Hero Lives,If you control no face-up monsters: Pay half your LP; Special Summon 1 Level 4 or lower Elemental HERO monster from your Deck.,C Common,0.35,5,1,NONE,1,NONE,0.0,0.0
83,64,A Hero Lives,If you control no face-up monsters: Pay half your LP; Special Summon 1 Level 4 or lower Elemental HERO monster from your Deck.,UR Ultra Rare,0.17,5,1,NONE,1,NONE,0.0,0.0
84,65,A Hero Lives,If you control no face-up monsters: Pay half your LP; Special Summon 1 Level 4 or lower Elemental HERO monster from your Deck.,C Common,0.14,5,1,NONE,1,NONE,0.0,0.0
85,65,A Hero Lives,If you control no face-up monsters: Pay half your LP; Special Summon 1 Level 4 or lower Elemental HERO monster from your Deck.,SE Secret Rare,0.67,5,1,NONE,1,NONE,0.0,0.0
86,66,A Hero Lives,If you control no face-up monsters: Pay half your LP; Special Summon 1 Level 4 or lower Elemental HERO monster from your Deck.,C Common,0.13,5,1,NONE,1,NONE,0.0,0.0
87,67,A Hero Lives,If you control no face-up monsters: Pay half your LP; Special Summon 1 Level 4 or lower Elemental HERO monster from your Deck.,C Common,0.2,3,1,NONE,1,NONE,0.0,0.0
88,68,A Hero Lives,If you control no face-up monsters: Pay half your LP; Special Summon 1 Level 4 or lower Elemental HERO monster from your Deck.,C Common,0.21,3,1,NONE,1,NONE,0.0,0.0
89,69,A Hero Lives,If you control no face-up monsters: Pay half your LP; Special Summon 1 Level 4 or lower Elemental HERO monster from your Deck.,UR Ultra Rare,5.57,3,1,NONE,1,NONE,0.0,0.0
90,69,A Hero Lives,If you control no face-up monsters: Pay half your LP; Special Summon 1 Level 4 or lower Elemental HERO monster from your Deck.,UL Ultimate Rare,46.64,5,1,NONE,1,NONE,0.0,0.0
91,70,A Legendary Ocean,(This card is always treated as Umi.)All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.,C Common,0.17,3,1,Field,1,NONE,0.0,0.0
92,71,A Legendary Ocean,(This card is always treated as Umi.)All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.,UR Ultra Rare,0.32,1,1,Field,1,NONE,0.0,0.0
93,72,A Legendary Ocean,(This card is always treated as Umi.)All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.,C Common,0.14,1,1,Field,1,NONE,0.0,0.0
94,73,A Legendary Ocean,(This card is always treated as Umi.)All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.,C Common,0.5,5,1,Field,1,NONE,0.0,0.0
95,74,A Legendary Ocean,(This card is always treated as Umi.)All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.,C Common,0.31,3,1,Field,1,NONE,0.0,0.0
96,75,A Legendary Ocean,(This card is always treated as Umi.)All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.,C Common,0.21,3,1,Field,1,NONE,0.0,0.0
97,76,A Legendary Ocean,(This card is always treated as Umi.)All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.,C Common,0.99,3,1,Field,1,NONE,0.0,0.0
98,76,A Legendary Ocean,(This card is always treated as Umi.)All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.,C Common,0.04,3,1,Field,1,NONE,0.0,0.0
99,77,A Legendary Ocean,(This card is always treated as Umi.)All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.,C Common,0.41,3,1,Field,1,NONE,0.0,0.0
100,78,A Legendary Ocean,(This card is always treated as Umi.)All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.,C Common,0.35,3,1,Field,1,NONE,0.0,0.0
101,79,A Legendary Ocean,(This card is always treated as Umi.)All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.,C Common,3.55,3,1,Field,1,NONE,0.0,0.0
102,80,A Legendary Ocean,(This card is always treated as Umi.)All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.,C Common,0.3,3,1,Field,1,NONE,0.0,0.0
103,81,A Major Upset,Tribute 1 face-up Attack Position Level 2 or lower monster; return all Level 7 or higher Special Summoned monsters to the hand.,C Common,0.57,3,3,NONE,1,NONE,0.0,0.0
104,82,A Major Upset,Tribute 1 face-up Attack Position Level 2 or lower monster; return all Level 7 or higher Special Summoned monsters to the hand.,C Common,0.16,3,3,NONE,1,NONE,0.0,0.0
105,83,A Major Upset,Tribute 1 face-up Attack Position Level 2 or lower monster; return all Level 7 or higher Special Summoned monsters to the hand.,C Common,0.11,3,3,NONE,1,NONE,0.0,0.0
106,84,A Man with Wdjat,"When you Normal Summon this card, and during each of your Standby Phases, select 1 Set card on your opponent's side of the field. Pick it up and look at it, then return it to its original position.",C Common,0.22,3,2,[Spellcaster／Effect],5,Level 4,1600.0,1600.0
107,85,A Man with Wdjat,"When you Normal Summon this card, and during each of your Standby Phases, select 1 Set card on your opponent's side of the field. Pick it up and look at it, then return it to its original position.",C Common,0.12,3,2,[Spellcaster／Effect],5,Level 4,1600.0,1600.0
108,86,A Rival Appears!,Select 1 face-up monster your opponent controls. Special Summon 1 monster from your hand that has the same Level as the selected monster.,C Common,0.0,4,3,NONE,1,NONE,0.0,0.0
109,87,A Rival Appears!,Select 1 face-up monster your opponent controls. Special Summon 1 monster from your hand that has the same Level as the selected monster.,C Common,0.15,3,3,NONE,1,NONE,0.0,0.0
110,88,"A Shattered, Colorless Realm","If Vicious Astraloud is on the field: Target 1 card on the field; destroy it, then, if the destroyed card's original name was Vicious Astraloud, you can Special Summon 1 of your banished Visas Starfrost, or if it was not, you can make 1 Vicious Astraloud you control gain 1500 ATK.",C Common,0.04,1,3,NONE,1,NONE,0.0,0.0
111,89,"A Shattered, Colorless Realm","If Vicious Astraloud is on the field: Target 1 card on the field; destroy it, then, if the destroyed card's original name was Vicious Astraloud, you can Special Summon 1 of your banished Visas Starfrost, or if it was not, you can make 1 Vicious Astraloud you control gain 1500 ATK.",C Common,0.04,3,3,NONE,1,NONE,0.0,0.0
112,90,A Wild Monster Appears!,"If only your opponent controls a monster: Special Summon from your hand, 1 monster with an original Level of 10 or lower that cannot be Normal Summoned/Set, ignoring its Summoning conditions. It is unaffected by the effects of your cards, except for its own effects and this card's, also shuffle it into the Deck during your opponent's next End Phase. For the rest of this turn, you cannot Normal Summon/Set or Special Summon monsters, and your opponent takes no damage.",R Rare,0.04,3,1,NONE,1,NONE,0.0,0.0
113,91,A Wild Monster Appears!,"If only your opponent controls a monster: Special Summon from your hand, 1 monster with an original Level of 10 or lower that cannot be Normal Summoned/Set, ignoring its Summoning conditions. It is unaffected by the effects of your cards, except for its own effects and this card's, also shuffle it into the Deck during your opponent's next End Phase. For the rest of this turn, you cannot Normal Summon/Set or Special Summon monsters, and your opponent takes no damage.",SE Secret Rare,0.25,3,1,NONE,1,NONE,0.0,0.0
114,92,A Wild Monster Appears!,"If only your opponent controls a monster: Special Summon from your hand, 1 monster with an original Level of 10 or lower that cannot be Normal Summoned/Set, ignoring its Summoning conditions. It is unaffected by the effects of your cards, except for its own effects and this card's, also shuffle it into the Deck during your opponent's next End Phase. For the rest of this turn, you cannot Normal Summon/Set or Special Summon monsters, and your opponent takes no damage.",SE Secret Rare,0.0,4,1,NONE,1,NONE,0.0,0.0
115,93,A Wingbeat of Giant Dragon,"Return 1 Level 5 or higher Dragon-Type monster you control to the hand, and if you do, destroy all Spell and Trap Cards on the field.",C Common,0.27,3,1,NONE,1,NONE,0.0,0.0
